<X> <Y> <dY> <dX>
6.688960000000000e-04 2.601350000000000e+12 5.475070000000000e+13 3.350070000000000e+13
1.337790000000000e-03 2.565730000000000e+12 5.400330000000000e+13 3.304370000000000e+13
2.006690000000000e-03 2.507250000000000e+12 5.277610000000000e+13 3.229330000000000e+13
2.675590000000000e-03 2.427210000000000e+12 5.109630000000000e+13 3.126620000000000e+13
3.344480000000000e-03 2.327370000000000e+12 4.900080000000000e+13 2.998500000000000e+13
4.013380000000000e-03 2.209900000000000e+12 4.653510000000000e+13 2.847730000000000e+13
4.682270000000000e-03 2.077330000000000e+12 4.375190000000000e+13 2.677540000000000e+13
5.351170000000000e-03 1.932440000000000e+12 4.070950000000000e+13 2.491490000000000e+13
6.020070000000000e-03 1.778200000000000e+12 3.747030000000000e+13 2.293400000000000e+13
6.688960000000000e-03 1.617690000000000e+12 3.409860000000000e+13 2.087200000000000e+13
7.357860000000000e-03 1.453990000000000e+12 3.065930000000000e+13 1.876840000000000e+13
8.026760000000001e-03 1.290140000000000e+12 2.721550000000000e+13 1.666200000000000e+13
8.695649999999999e-03 1.128990000000000e+12 2.382760000000000e+13 1.458960000000000e+13
9.364549999999999e-03 9.732020000000000e+11 2.055090000000000e+13 1.258500000000000e+13
1.003340000000000e-02 8.251250000000000e+11 1.743520000000000e+13 1.067870000000000e+13
1.070230000000000e-02 6.867850000000000e+11 1.452290000000000e+13 8.896670000000000e+12
1.137120000000000e-02 5.598300000000000e+11 1.184880000000000e+13 7.260110000000000e+12
1.204010000000000e-02 4.455060000000000e+11 9.439090000000000e+12 5.785160000000000e+12
1.270900000000000e-02 3.446490000000000e+11 7.311610000000000e+12 4.482690000000000e+12
1.337790000000000e-02 2.576870000000000e+11 5.475510000000000e+12 3.358340000000000e+12
1.404680000000000e-02 1.846550000000000e+11 3.931750000000000e+12 2.412740000000000e+12
1.471570000000000e-02 1.252240000000000e+11 2.673670000000000e+12 1.641840000000000e+12
1.538460000000000e-02 7.873900000000000e+10 1.687750000000000e+12 1.037430000000000e+12
1.605350000000000e-02 4.426530000000000e+10 9.545800000000000e+11 5.876500000000000e+11
1.672240000000000e-02 2.064050000000000e+10 4.499660000000000e+11 2.777520000000000e+11
1.739130000000000e-02 6.531760000000000e+09 1.460980000000000e+11 9.075410000000000e+10
1.806020000000000e-02 4.932180000000000e+08 1.276250000000000e+10 8.202440000000000e+09
1.872910000000000e-02 1.023900000000000e+09 1.854780000000000e+10 1.090430000000000e+10
1.939800000000000e-02 6.622310000000000e+09 1.319870000000000e+11 7.962710000000000e+10
2.006690000000000e-02 1.583670000000000e+10 3.226120000000000e+11 1.957430000000000e+11
2.073580000000000e-02 2.730910000000000e+10 5.618820000000000e+11 3.417940000000000e+11
2.140470000000000e-02 3.981230000000000e+10 8.239570000000000e+11 5.019700000000000e+11
2.207360000000000e-02 5.227870000000000e+10 1.086310000000000e+12 6.624760000000000e+11
2.274250000000000e-02 6.381960000000000e+10 1.330130000000000e+12 8.117960000000000e+11
2.341140000000000e-02 7.373740000000000e+10 1.540620000000000e+12 9.408440000000000e+11
2.408030000000000e-02 8.152800000000000e+10 1.707000000000000e+12 1.043010000000000e+12
2.474920000000000e-02 8.687570000000000e+10 1.822440000000000e+12 1.114080000000000e+12
2.541810000000000e-02 8.964170000000000e+10 1.883840000000000e+12 1.152140000000000e+12
2.608700000000000e-02 8.984620000000000e+10 1.891440000000000e+12 1.157300000000000e+12
2.675590000000000e-02 8.764590000000000e+10 1.848350000000000e+12 1.131430000000000e+12
2.742470000000000e-02 8.330840000000000e+10 1.760050000000000e+12 1.077870000000000e+12
2.809360000000000e-02 7.718510000000000e+10 1.633790000000000e+12 1.001020000000000e+12
2.876250000000000e-02 6.968270000000000e+10 1.478010000000000e+12 9.060480000000000e+11
2.943140000000000e-02 6.123670000000000e+10 1.301820000000000e+12 7.984920000000000e+11
3.010030000000000e-02 5.228560000000000e+10 1.114380000000000e+12 6.839640000000000e+11
3.076920000000000e-02 4.324830000000000e+10 9.245050000000000e+11 5.678530000000000e+11
3.143810000000000e-02 3.450560000000000e+10 7.402340000000000e+11 4.550750000000000e+11
3.210700000000000e-02 2.638500000000000e+10 5.685040000000000e+11 3.498860000000000e+11
3.277590000000000e-02 1.914970000000000e+10 4.149340000000000e+11 2.557310000000000e+11
3.344480000000000e-02 1.299290000000000e+10 2.836800000000000e+11 1.751710000000000e+11
3.411370000000000e-02 8.035220000000000e+09 1.773880000000000e+11 1.098400000000000e+11
3.478260000000000e-02 4.326510000000000e+09 9.722500000000000e+10 6.046870000000000e+10
3.545150000000000e-02 1.851060000000000e+09 4.297340000000000e+10 2.694210000000000e+10
3.612040000000000e-02 5.353180000000000e+08 1.319580000000000e+10 8.397970000000000e+09
3.678930000000000e-02 2.578560000000000e+08 5.436140000000000e+09 3.349010000000000e+09
3.745820000000000e-02 8.606360000000000e+08 1.645270000000000e+10 9.825270000000000e+09
3.812710000000000e-02 2.160970000000000e+09 4.246670000000000e+10 2.552530000000000e+10
3.879600000000000e-02 3.963450000000000e+09 7.941100000000000e+10 4.796800000000000e+10
3.946490000000000e-02 6.071290000000000e+09 1.231670000000000e+11 7.463770000000000e+10
4.013380000000000e-02 8.296460000000000e+09 1.697800000000000e+11 1.031160000000000e+11
4.080270000000000e-02 1.046840000000000e+10 2.156420000000000e+11 1.311910000000000e+11
4.147160000000000e-02 1.244090000000000e+10 2.576370000000000e+11 1.569540000000000e+11
4.214050000000000e-02 1.409670000000000e+10 2.932500000000000e+11 1.788570000000000e+11
4.280940000000000e-02 1.535070000000000e+10 3.206230000000000e+11 1.957530000000000e+11
4.347830000000000e-02 1.615050000000000e+10 3.385850000000000e+11 2.069160000000000e+11
4.414720000000000e-02 1.647560000000000e+10 3.466290000000000e+11 2.120250000000000e+11
4.481610000000000e-02 1.633450000000000e+10 3.448670000000000e+11 2.111350000000000e+11
4.548490000000000e-02 1.576170000000000e+10 3.339520000000000e+11 2.046380000000000e+11
4.615380000000000e-02 1.481200000000000e+10 3.149820000000000e+11 1.931940000000000e+11
4.682270000000000e-02 1.355590000000000e+10 2.893910000000000e+11 1.776730000000000e+11
4.749160000000000e-02 1.207370000000000e+10 2.588320000000000e+11 1.590810000000000e+11
4.816050000000000e-02 1.045000000000000e+10 2.250650000000000e+11 1.384910000000000e+11
