<X> <Y>
6.250000000000000e-03 2.515735043854956e+12
1.250000000000000e-02 2.478419996378407e+12
1.875000000000000e-02 2.429775183209977e+12
2.500000000000000e-02 2.367878652462408e+12
3.125000000000000e-02 2.291454185847222e+12
3.750000000000000e-02 2.200220325041296e+12
4.375000000000000e-02 2.095005176177575e+12
5.000000000000000e-02 1.977561278246772e+12
5.625000000000000e-02 1.850190492144990e+12
6.250000000000000e-02 1.714513464952108e+12
6.875000000000001e-02 1.574201821328059e+12
7.500000000000000e-02 1.431414077852687e+12
8.125000000000000e-02 1.288298137366669e+12
8.749999999999999e-02 1.146971947483153e+12
9.375000000000000e-02 1.009464504861165e+12
1.000000000000000e-01 8.776324462003002e+11
1.062500000000000e-01 7.530801681645897e+11
1.125000000000000e-01 6.371080533888877e+11
1.187500000000000e-01 5.306984437902748e+11
1.250000000000000e-01 4.345318665011490e+11
1.312500000000000e-01 3.490433128632645e+11
1.375000000000000e-01 2.744242240901608e+11
1.437500000000000e-01 2.106434648161478e+11
1.500000000000000e-01 1.574551476406016e+11
1.562500000000000e-01 1.144047217178757e+11
1.625000000000000e-01 8.084343810958730e+10
1.687500000000000e-01 5.595751918217223e+10
1.750000000000000e-01 3.880644300475997e+10
1.812500000000000e-01 2.836630704002773e+10
1.875000000000000e-01 2.357160634289403e+10
1.937500000000000e-01 2.334924620996268e+10
2.000000000000000e-01 2.665230108330029e+10
2.062500000000000e-01 3.248708324308382e+10
2.125000000000000e-01 3.993428826840238e+10
2.187500000000000e-01 4.816482762067333e+10
2.250000000000000e-01 5.645370780660007e+10
2.312500000000000e-01 6.418803711914434e+10
2.375000000000000e-01 7.087439183341852e+10
2.437500000000000e-01 7.614562837769350e+10
2.500000000000000e-01 7.976458259612178e+10
2.562500000000000e-01 8.161943727359137e+10
2.625000000000000e-01 8.171036553741084e+10
2.687500000000000e-01 8.012879371245648e+10
2.750000000000000e-01 7.703351087149886e+10
2.812500000000000e-01 7.262925604499861e+10
2.875000000000000e-01 6.714918096349403e+10
2.937500000000000e-01 6.084684355536045e+10
3.000000000000000e-01 5.399175596705595e+10
3.062500000000000e-01 4.686065105577493e+10
3.125000000000000e-01 3.972724636268382e+10
3.187500000000000e-01 3.284803720681837e+10
3.250000000000000e-01 2.644705792096088e+10
3.312500000000000e-01 2.070352674813336e+10
3.375000000000000e-01 1.574548091965740e+10
3.437500000000000e-01 1.164856894945629e+10
3.500000000000000e-01 8.442818899334605e+09
3.562500000000000e-01 6.118486499357030e+09
3.625000000000000e-01 4.631342354753271e+09
3.687500000000000e-01 3.909043762224650e+09
3.750000000000000e-01 3.856580045365445e+09
3.812500000000000e-01 4.361674759769945e+09
3.875000000000000e-01 5.300696850853354e+09
3.937500000000000e-01 6.545654775802309e+09
4.000000000000000e-01 7.969884311996419e+09
4.062500000000000e-01 9.454765499041977e+09
4.125000000000000e-01 1.089382108632095e+10
4.187500000000000e-01 1.219626788268854e+10
4.250000000000000e-01 1.328926059926313e+10
4.312500000000000e-01 1.411875443775372e+10
4.375000000000000e-01 1.464928570703568e+10
4.437500000000000e-01 1.486308137407294e+10
4.500000000000000e-01 1.475908129711272e+10
4.562500000000000e-01 1.435131000756800e+10
4.625000000000000e-01 1.366800321185684e+10
4.687500000000000e-01 1.274982370457483e+10
4.750000000000000e-01 1.164724694120564e+10
4.812500000000000e-01 1.041688554795646e+10
4.875000000000000e-01 9.117125220920219e+09
4.937500000000000e-01 7.803818354923405e+09
5.000000000000000e-01 6.526835481644819e+09
5.062500000000000e-01 5.327997186449029e+09
5.125000000000000e-01 4.240134622170349e+09
5.187500000000000e-01 3.288004272320216e+09
5.250000000000000e-01 2.488347460513099e+09
5.312500000000000e-01 1.850390866670004e+09
5.375000000000000e-01 1.376188348962957e+09
5.437500000000000e-01 1.060899314285201e+09
5.500000000000000e-01 8.933010229444581e+08
5.562500000000000e-01 8.567642988656619e+08
5.625000000000000e-01 9.305839412477694e+08
5.687500000000000e-01 1.091399530768750e+09
5.750000000000000e-01 1.315021002281073e+09
5.812500000000000e-01 1.577421208834627e+09
5.875000000000000e-01 1.855898682064258e+09
5.937500000000000e-01 2.129931563762439e+09
6.000000000000000e-01 2.381787895441588e+09
6.062500000000000e-01 2.596952697233858e+09
6.125000000000000e-01 2.764451971196375e+09
6.187500000000000e-01 2.877027396395401e+09
6.250000000000000e-01 2.931169527853772e+09
6.312500000000000e-01 2.927062362291347e+09
6.375000000000000e-01 2.868279980431953e+09
6.437500000000000e-01 2.761213804131835e+09
6.500000000000000e-01 2.614263139966526e+09
6.562500000000000e-01 2.436903983276065e+09
6.625000000000000e-01 2.238800174966414e+09
6.687500000000000e-01 2.029105807933664e+09
6.750000000000000e-01 1.816036964029491e+09
6.812500000000000e-01 1.606725473810975e+09
6.875000000000000e-01 1.407249628842157e+09
6.937500000000000e-01 1.222598585988099e+09
7.000000000000000e-01 1.056656605893518e+09
7.062500000000000e-01 9.121193187541280e+08
7.125000000000000e-01 7.904019258225362e+08
7.187500000000000e-01 6.916146337334746e+08
7.250000000000000e-01 6.146543374374700e+08
7.312500000000000e-01 5.574049831233478e+08
7.375000000000000e-01 5.170394581258590e+08
7.437500000000000e-01 4.903325956678686e+08
7.500000000000000e-01 4.738924847607253e+08
7.562500000000000e-01 4.644009685541630e+08
7.625000000000000e-01 4.587887530217990e+08
7.687500000000000e-01 4.543593294707528e+08
7.750000000000000e-01 4.488767433180736e+08
7.812500000000000e-01 4.406315069107544e+08
7.875000000000000e-01 4.284705755157392e+08
7.937500000000000e-01 4.117991481374555e+08
8.000000000000000e-01 3.905666585624480e+08
8.062500000000000e-01 3.651867582934360e+08
8.125000000000000e-01 3.364332194644099e+08
8.187500000000000e-01 3.053083698840617e+08
8.250000000000000e-01 2.729060639418469e+08
8.312500000000000e-01 2.402931797411719e+08
8.375000000000000e-01 2.084285166863734e+08
8.437500000000000e-01 1.781199743078445e+08
8.500000000000000e-01 1.500154510569100e+08
8.562500000000000e-01 1.246193135459158e+08
8.625000000000000e-01 1.022916387748932e+08
8.687500000000000e-01 8.324935085880506e+07
8.750000000000000e-01 6.756048788964181e+07
8.812500000000000e-01 5.514129042073176e+07
8.875000000000000e-01 4.576553460715786e+07
8.937500000000000e-01 3.909156658245051e+07
9.000000000000000e-01 3.469899857825710e+07
9.062500000000000e-01 3.214327105973554e+07
9.125000000000000e-01 3.099414320140442e+07
9.187500000000000e-01 3.087135080437001e+07
9.250000000000000e-01 3.147090276302676e+07
9.312500000000000e-01 3.257853195880078e+07
9.375000000000000e-01 3.407244605941822e+07
9.437500000000000e-01 3.591771692882597e+07
9.500000000000000e-01 3.815634645892346e+07
9.562500000000000e-01 4.089093902630483e+07
9.625000000000000e-01 4.426740022355810e+07
9.687500000000000e-01 4.845382205224802e+07
9.750000000000000e-01 5.362129104714465e+07
9.812500000000000e-01 5.992649109242956e+07
9.875000000000000e-01 6.749650087874046e+07
9.937500000000000e-01 7.641511985017547e+07
1.000000000000000e+00 8.670944995076692e+07
1.006250000000000e+00 9.834326604845312e+07
1.012500000000000e+00 1.112012917113172e+08
1.018750000000000e+00 1.250873463841918e+08
1.025000000000000e+00 1.397265122680169e+08
1.031250000000000e+00 1.547792026588347e+08
1.037500000000000e+00 1.698633401339998e+08
1.043750000000000e+00 1.845800401606409e+08
1.050000000000000e+00 1.985365820393767e+08
1.056250000000000e+00 2.113654402331094e+08
1.062500000000000e+00 2.227324882185165e+08
1.068750000000000e+00 2.323393318810930e+08
1.075000000000000e+00 2.399310042808218e+08
1.081250000000000e+00 2.453041563591388e+08
1.087500000000000e+00 2.483178376270242e+08
1.093750000000000e+00 2.489043785225179e+08
1.100000000000000e+00 2.470768910437589e+08
1.106250000000000e+00 2.429315910022223e+08
1.112500000000000e+00 2.366504839503031e+08
1.118750000000000e+00 2.284883803785464e+08
1.125000000000000e+00 2.187690531488798e+08
1.131250000000000e+00 2.078814752281530e+08
1.137500000000000e+00 1.962629042233344e+08
1.143750000000000e+00 1.843805284338190e+08
1.150000000000000e+00 1.727087516657128e+08
1.156250000000000e+00 1.617058346817961e+08
1.162500000000000e+00 1.517942590895842e+08
1.168750000000000e+00 1.433474703973361e+08
1.175000000000000e+00 1.366861489831450e+08
1.181250000000000e+00 1.320732774780263e+08
1.187500000000000e+00 1.297115178388977e+08
1.193750000000000e+00 1.297339748480925e+08
1.200000000000000e+00 1.321967469357779e+08
1.206250000000000e+00 1.370729719751894e+08
1.212500000000000e+00 1.442508380240543e+08
1.218750000000000e+00 1.535354724385040e+08
1.225000000000000e+00 1.646583452550710e+08
1.231250000000000e+00 1.772787854998597e+08
1.237500000000000e+00 1.909998605544242e+08
1.243750000000000e+00 2.053736925728066e+08
1.250000000000000e+00 2.199214650261174e+08
1.256250000000000e+00 2.341546223146302e+08
1.262500000000000e+00 2.475971717272201e+08
1.268750000000000e+00 2.598060948852222e+08
1.275000000000000e+00 2.703879204841500e+08
1.281250000000000e+00 2.790135620180423e+08
1.287500000000000e+00 2.854288003281931e+08
1.293750000000000e+00 2.894597530291832e+08
1.300000000000000e+00 2.910266970223753e+08
1.306250000000000e+00 2.901450564998412e+08
1.312500000000000e+00 2.869231018036193e+08
1.318750000000000e+00 2.815523233794410e+08
1.325000000000000e+00 2.742919816770132e+08
1.331250000000000e+00 2.654509434118437e+08
1.337500000000000e+00 2.553730719717662e+08
1.343750000000000e+00 2.444181056512727e+08
1.350000000000000e+00 2.329569983136097e+08
1.356250000000000e+00 2.213604817232230e+08
1.362500000000000e+00 2.099865310862190e+08
1.368750000000000e+00 1.991654938984236e+08
1.375000000000000e+00 1.891820686420868e+08
1.381250000000000e+00 1.802574904743792e+08
1.387500000000000e+00 1.725360025289199e+08
1.393750000000000e+00 1.660819514379903e+08
1.400000000000000e+00 1.608792060659877e+08
1.406250000000000e+00 1.568435266920399e+08
1.412500000000000e+00 1.538371984353294e+08
1.418750000000000e+00 1.516810539030895e+08
1.425000000000000e+00 1.501683077657968e+08
1.431250000000000e+00 1.490761176284190e+08
1.437500000000000e+00 1.481756759346689e+08
1.443750000000000e+00 1.472418910092669e+08
1.450000000000000e+00 1.460670829364758e+08
1.456250000000000e+00 1.444656223594453e+08
1.462500000000000e+00 1.422918062631845e+08
1.468750000000000e+00 1.394461231697701e+08
1.475000000000000e+00 1.358812620862571e+08
1.481250000000000e+00 1.316026480808436e+08
1.487500000000000e+00 1.266636053399930e+08
1.493750000000000e+00 1.211570967739075e+08
1.500000000000000e+00 1.152063501343982e+08
1.506250000000000e+00 1.089593817761016e+08
1.512500000000000e+00 1.025810263885642e+08
1.518750000000000e+00 9.625267163292456e+07
1.525000000000000e+00 9.016447532153223e+07
1.531250000000000e+00 8.450653407434590e+07
1.537500000000000e+00 7.945702364715795e+07
1.543750000000000e+00 7.516912038892214e+07
1.550000000000000e+00 7.175938107093732e+07
1.556250000000000e+00 6.930134875381650e+07
1.562500000000000e+00 6.782082103342900e+07
1.568750000000000e+00 6.729622207531589e+07
1.575000000000000e+00 6.766761992214029e+07
1.581250000000000e+00 6.883793937231417e+07
1.587500000000000e+00 7.068205441879158e+07
1.593750000000000e+00 7.305440440865004e+07
1.600000000000000e+00 7.579638653921792e+07
1.606250000000000e+00 7.874365592041549e+07
1.612500000000000e+00 8.173358975053434e+07
1.618750000000000e+00 8.461493106815240e+07
1.625000000000000e+00 8.725237204232208e+07
1.631250000000000e+00 8.953629746139011e+07
1.637500000000000e+00 9.138660717818220e+07
1.643750000000000e+00 9.275570303088100e+07
1.650000000000000e+00 9.362854415853436e+07
1.656250000000000e+00 9.401991662821874e+07
1.662500000000000e+00 9.396939720553596e+07
1.668750000000000e+00 9.353488143903892e+07
1.675000000000000e+00 9.278662333951131e+07
1.681250000000000e+00 9.180154301820278e+07
1.687500000000000e+00 9.065811370208529e+07
1.693750000000000e+00 8.943314221941648e+07
1.700000000000000e+00 8.819886068135801e+07
1.706250000000000e+00 8.701978999713795e+07
1.712500000000000e+00 8.594914559498522e+07
1.718750000000000e+00 8.502499537664327e+07
1.725000000000000e+00 8.426565751356903e+07
1.731250000000000e+00 8.367076274691349e+07
1.737500000000000e+00 8.321731608094393e+07
1.743750000000000e+00 8.286500671947888e+07
1.750000000000000e+00 8.255918978782935e+07
1.756250000000000e+00 8.223776380221170e+07
1.762500000000000e+00 8.183871217423446e+07
1.768750000000000e+00 8.130705529459503e+07
1.775000000000000e+00 8.059993523822080e+07
1.781250000000000e+00 7.969213503291139e+07
1.787500000000000e+00 7.857172953471026e+07
1.793750000000000e+00 7.724180267843612e+07
1.800000000000000e+00 7.571985636806686e+07
1.806250000000000e+00 7.403496584370793e+07
1.812500000000000e+00 7.222586650241740e+07
1.818750000000000e+00 7.033795076867381e+07
1.825000000000000e+00 6.841933420364285e+07
1.831250000000000e+00 6.651692635577407e+07
1.837500000000000e+00 6.467387112920484e+07
1.843750000000000e+00 6.293016279605405e+07
1.850000000000000e+00 6.131969075284870e+07
1.856250000000000e+00 5.987451650999262e+07
1.862500000000000e+00 5.862188255506670e+07
1.868750000000000e+00 5.758224904416957e+07
1.875000000000000e+00 5.676676572109724e+07
1.881250000000000e+00 5.617517677901029e+07
1.887500000000000e+00 5.579464946077292e+07
1.893750000000000e+00 5.560075314042713e+07
1.900000000000000e+00 5.555620097840127e+07
1.906250000000000e+00 5.561726590612242e+07
1.912500000000000e+00 5.573239981708360e+07
1.918750000000000e+00 5.584820188132359e+07
1.925000000000000e+00 5.591390549351498e+07
1.931250000000000e+00 5.588550621830133e+07
1.937500000000000e+00 5.572893027192508e+07
1.943750000000000e+00 5.542198787598791e+07
1.950000000000000e+00 5.495721454016098e+07
1.956250000000000e+00 5.433941926079181e+07
1.962500000000000e+00 5.358710420705929e+07
