<X> <Y> <dY> <dX>
1.154388000000000e-02 6.578000000000000e+00 3.966385000000000e-01 2.465640000000000e-03
1.198080000000000e-02 6.404430000000000e+00 1.867160000000000e-01 2.512715000000000e-03
1.243426000000000e-02 6.389675000000000e+00 1.395308000000000e-01 2.561375000000000e-03
1.290489000000000e-02 6.505093000000000e+00 1.188245000000000e-01 2.612519000000000e-03
1.339332000000000e-02 6.457736000000000e+00 9.970858000000000e-02 2.666464000000000e-03
1.390024000000000e-02 6.498647000000000e+00 8.631013999999999e-02 2.723508000000000e-03
1.442635000000000e-02 6.344283000000000e+00 7.315718000000000e-02 2.753395000000000e-03
1.497237000000000e-02 6.150714000000000e+00 6.480397000000000e-02 2.815735000000000e-03
1.553906000000000e-02 5.901904000000000e+00 5.676504000000000e-02 2.848501000000000e-03
1.612720000000000e-02 5.709463000000000e+00 5.128664000000000e-02 2.917038000000000e-03
1.673760000000000e-02 5.362702000000000e+00 4.597740000000000e-02 2.953191000000000e-03
1.737110000000000e-02 5.161573000000000e+00 4.099944000000000e-02 3.029063000000000e-03
1.802857000000000e-02 4.825413000000000e+00 3.775380000000000e-02 3.069251000000000e-03
1.871094000000000e-02 4.569798000000000e+00 3.281126000000000e-02 3.110963000000000e-03
1.941912000000000e-02 4.263072000000000e+00 3.445020000000000e-02 3.198958000000000e-03
2.015412000000000e-02 3.998990000000000e+00 2.739879000000000e-02 3.245880000000000e-03
2.091693000000000e-02 3.796360000000000e+00 2.500686000000000e-02 3.294803000000000e-03
2.170861000000000e-02 3.564886000000000e+00 2.287438000000000e-02 3.345874000000000e-03
2.253026000000000e-02 3.371400000000000e+00 2.084363000000000e-02 3.399266000000000e-03
2.338301000000000e-02 3.246154000000000e+00 1.901426000000000e-02 3.455179000000000e-03
2.426803000000000e-02 3.025046000000000e+00 1.772028000000000e-02 3.513807000000000e-03
2.518655000000000e-02 2.863978000000000e+00 1.615987000000000e-02 3.514610000000000e-03
2.613983000000000e-02 2.707841000000000e+00 1.487972000000000e-02 3.515496000000000e-03
2.712919000000000e-02 2.610467000000000e+00 1.391675000000000e-02 3.516443000000000e-03
2.815600000000000e-02 2.459898000000000e+00 1.285416000000000e-02 3.517453000000000e-03
2.922168000000000e-02 2.332660000000000e+00 1.211271000000000e-02 3.518538000000000e-03
3.032769000000000e-02 2.189133000000000e+00 1.116838000000000e-02 3.519716000000000e-03
3.147556000000000e-02 2.052341000000000e+00 1.040154000000000e-02 3.520985000000000e-03
3.266687000000000e-02 1.920439000000000e+00 9.733067999999999e-03 3.522344000000000e-03
3.390328000000000e-02 1.774953000000000e+00 8.976893000000000e-03 3.523808000000000e-03
3.518648000000000e-02 1.644069000000000e+00 8.254960000000000e-03 3.525382000000000e-03
3.651825000000000e-02 1.503439000000000e+00 7.740776000000000e-03 3.527085000000000e-03
3.790043000000000e-02 1.346710000000000e+00 7.043365000000000e-03 3.528920000000000e-03
3.933492000000000e-02 1.206231000000000e+00 6.528101000000000e-03 3.530891000000000e-03
4.082370000000000e-02 1.056166000000000e+00 5.951507000000000e-03 3.533020000000000e-03
4.236884000000000e-02 9.127537000000000e-01 5.295370000000000e-03 3.535303000000000e-03
4.397245000000000e-02 7.688795000000000e-01 4.777231000000000e-03 3.537753000000000e-03
4.563676000000000e-02 6.403000000000000e-01 4.282901000000000e-03 3.540391000000000e-03
4.736406000000000e-02 5.238285000000000e-01 3.832349000000000e-03 3.543248000000000e-03
4.915674000000000e-02 4.044354000000000e-01 3.388078000000000e-03 3.546320000000000e-03
5.101727000000000e-02 3.014382000000000e-01 2.986058000000000e-03 3.549632000000000e-03
5.294822000000000e-02 2.209773000000000e-01 2.643640000000000e-03 3.553205000000000e-03
