q  I(q)
1.200000e-02 7.783820e+00
1.201493e-02 7.775221e+00
1.202988e-02 7.766611e+00
1.204485e-02 7.757993e+00
1.205984e-02 7.749365e+00
1.207485e-02 7.740728e+00
1.208988e-02 7.732085e+00
1.210492e-02 7.723430e+00
1.211999e-02 7.714766e+00
1.213507e-02 7.706093e+00
1.215017e-02 7.697412e+00
1.216529e-02 7.688723e+00
1.218043e-02 7.680022e+00
1.219559e-02 7.671315e+00
1.221076e-02 7.662597e+00
1.222596e-02 7.653871e+00
1.224117e-02 7.645137e+00
1.225641e-02 7.636392e+00
1.227166e-02 7.627641e+00
1.228693e-02 7.618879e+00
1.230222e-02 7.610109e+00
1.231753e-02 7.601330e+00
1.233286e-02 7.592543e+00
1.234820e-02 7.583748e+00
1.236357e-02 7.574944e+00
1.237896e-02 7.566129e+00
1.239436e-02 7.557310e+00
1.240978e-02 7.548478e+00
1.242523e-02 7.539640e+00
1.244069e-02 7.530792e+00
1.245617e-02 7.521937e+00
1.247167e-02 7.513073e+00
1.248719e-02 7.504200e+00
1.250273e-02 7.495319e+00
1.251829e-02 7.486431e+00
1.253387e-02 7.477533e+00
1.254946e-02 7.468627e+00
1.256508e-02 7.459713e+00
1.258072e-02 7.450791e+00
1.259637e-02 7.441860e+00
1.261205e-02 7.432922e+00
1.262774e-02 7.423974e+00
1.264346e-02 7.415020e+00
1.265919e-02 7.406057e+00
1.267494e-02 7.397087e+00
1.269072e-02 7.388107e+00
1.270651e-02 7.379121e+00
1.272232e-02 7.370125e+00
1.273815e-02 7.361123e+00
1.275401e-02 7.352112e+00
1.276988e-02 7.343093e+00
1.278577e-02 7.334067e+00
1.280168e-02 7.325031e+00
1.281761e-02 7.315990e+00
1.283356e-02 7.306940e+00
1.284953e-02 7.297882e+00
1.286552e-02 7.288816e+00
1.288153e-02 7.279744e+00
1.289756e-02 7.270663e+00
1.291361e-02 7.261576e+00
1.292968e-02 7.252479e+00
1.294577e-02 7.243376e+00
1.296188e-02 7.234266e+00
1.297801e-02 7.225148e+00
1.299416e-02 7.216023e+00
1.301033e-02 7.206890e+00
1.302652e-02 7.197750e+00
1.304273e-02 7.188603e+00
1.305896e-02 7.179448e+00
1.307521e-02 7.170286e+00
1.309149e-02 7.161118e+00
