q,I,dI
0.1,316.2221514,0
0.100076808,316.1328107,0
0.100153675,316.0433567,0
0.100230601,315.9537894,0
0.100307586,315.8641086,0
0.10038463,315.7743141,0
0.100461733,315.684406,0
0.100538896,315.5943841,0
0.100616118,315.5042483,0
0.100693399,315.4139985,0
0.100770739,315.3236345,0
0.100848139,315.2331564,0
0.100925599,315.1425639,0
0.101003117,315.0518569,0
0.101080696,314.9610355,0
0.101158334,314.8700994,0
0.101236031,314.7790485,0
0.101313789,314.6878828,0
0.101391606,314.5966021,0
0.101469482,314.5052063,0
0.101547419,314.4136954,0
0.101625415,314.3220692,0
0.101703472,314.2303276,0
0.101781588,314.1384705,0
0.101859764,314.0464978,0
0.101938001,313.9544094,0
0.102016297,313.8622052,0
0.102094654,313.7698851,0
0.102173071,313.6774489,0
0.102251548,313.5848967,0
0.102330085,313.4922282,0
0.102408683,313.3994433,0
0.10248734,313.3065421,0
0.102566059,313.2135242,0
0.102644838,313.1203898,0
0.102723677,313.0271385,0
0.102802577,312.9337705,0
0.102881537,312.8402854,0
0.102960559,312.7466833,0
0.10303964,312.652964,0
0.103118783,312.5591274,0
0.103197986,312.4651734,0
0.103277251,312.3711019,0
0.103356576,312.2769128,0
0.103435962,312.182606,0
0.103515409,312.0881815,0
0.103594917,311.993639,0
0.103674486,311.8989784,0
0.103754116,311.8041998,0
0.103833808,311.7093029,0
0.10391356,311.6142877,0
0.103993374,311.5191541,0
0.104073249,311.4239019,0
0.104153186,311.3285311,0
0.104233183,311.2330415,0
0.104313243,311.1374331,0
0.104393364,311.0417057,0
0.104473546,310.9458593,0
0.10455379,310.8498937,0
0.104634095,310.7538088,0
0.104714463,310.6576045,0
0.104794892,310.5612808,0
0.104875383,310.4648374,0
0.104955935,310.3682744,0
0.10503655,310.2715916,0
0.105117226,310.1747889,0
0.105197964,310.0778662,0
0.105278765,309.9808234,0
0.105359627,309.8836604,0
0.105440552,309.7863771,0
0.105521538,309.6889733,0
0.105602587,309.591449,0
0.105683698,309.4938042,0
0.105764872,309.3960385,0
0.105846108,309.2981521,0
0.105927406,309.2001447,0
0.106008766,309.1020163,0
0.106090189,309.0037668,0
0.106171675,308.905396,0
0.106253223,308.8069038,0
0.106334834,308.7082903,0
0.106416508,308.6095551,0
0.106498244,308.5106983,0
0.106580043,308.4117198,0
0.106661905,308.3126194,0
0.10674383,308.213397,0
0.106825818,308.1140525,0
0.106907868,308.0145859,0
0.106989982,307.914997,0
0.107072159,307.8152858,0
0.107154399,307.7154521,0
0.107236702,307.6154957,0
0.107319068,307.5154167,0
0.107401498,307.415215,0
0.10748399,307.3148903,0
0.107566547,307.2144427,0
0.107649166,307.1138719,0
0.107731849,307.013178,0
0.107814596,306.9123608,0
0.107897406,306.8114202,0
0.10798028,306.710356,0
0.108063217,306.6091683,0
0.108146218,306.5078569,0
0.108229283,306.4064217,0
0.108312412,306.3048626,0
0.108395604,306.2031794,0
0.108478861,306.1013722,0
0.108562181,305.9994408,0
0.108645565,305.897385,0
0.108729014,305.7952049,0
0.108812526,305.6929002,0
0.108896103,305.5904709,0
0.108979744,305.4879169,0
0.109063449,305.3852381,0
0.109147218,305.2824344,0
0.109231052,305.1795057,0
0.10931495,305.0764518,0
0.109398912,304.9732728,0
0.109482939,304.8699684,0
0.109567031,304.7665386,0
0.109651187,304.6629833,0
0.109735408,304.5593024,0
0.109819693,304.4554958,0
0.109904044,304.3515633,0
0.109988459,304.247505,0
0.110072938,304.1433206,0
0.110157483,304.0390101,0
0.110242093,303.9345734,0
0.110326767,303.8300103,0
0.110411507,303.7253209,0
0.110496312,303.620505,0
0.110581182,303.5155624,0
0.110666117,303.4104931,0
0.110751117,303.3052971,0
0.110836183,303.1999741,0
0.110921314,303.0945241,0
0.11100651,302.988947,0
0.111091772,302.8832427,0
0.111177099,302.7774111,0
0.111262492,302.6714521,0
0.11134795,302.5653656,0
0.111433474,302.4591515,0
0.111519064,302.3528097,0
0.11160472,302.2463401,0
0.111690441,302.1397427,0
0.111776228,302.0330172,0
0.111862081,301.9261636,0
0.111948,301.8191819,0
0.112033985,301.7120719,0
0.112120036,301.6048335,0
0.112206153,301.4974666,0
0.112292336,301.3899712,0
0.112378585,301.2823471,0
0.112464901,301.1745942,0
0.112551283,301.0667125,0
0.112637731,300.9587018,0
0.112724246,300.850562,0
0.112810827,300.7422931,0
0.112897475,300.633895,0
0.112984189,300.5253675,0
0.11307097,300.4167105,0
0.113157817,300.3079241,0
0.113244731,300.199008,0
0.113331712,300.0899621,0
0.11341876,299.9807865,0
0.113505875,299.8714809,0
0.113593056,299.7620453,0
0.113680305,299.6524796,0
0.11376762,299.5427837,0
0.113855003,299.4329575,0
0.113942452,299.3230009,0
0.114029969,299.2129138,0
0.114117553,299.1026961,0
0.114205204,298.9923477,0
0.114292923,298.8818686,0
0.114380709,298.7712586,0
0.114468562,298.6605176,0
0.114556483,298.5496456,0
0.114644472,298.4386425,0
0.114732528,298.3275081,0
0.114820651,298.2162423,0
0.114908843,298.1048451,0
0.114997102,297.9933165,0
0.115085429,297.8816561,0
0.115173823,297.7698641,0
0.115262286,297.6579403,0
0.115350817,297.5458846,0
0.115439415,297.4336969,0
0.115528082,297.3213771,0
0.115616817,297.2089251,0
0.115705619,297.0963409,0
0.11579449,296.9836243,0
0.11588343,296.8707753,0
0.115972437,296.7577938,0
0.116061513,296.6446796,0
0.116150658,296.5314326,0
0.116239871,296.4180529,0
0.116329152,296.3045403,0
0.116418502,296.1908946,0
0.116507921,296.0771159,0
0.116597408,295.963204,0
0.116686964,295.8491588,0
0.116776589,295.7349803,0
0.116866283,295.6206683,0
0.116956045,295.5062228,0
0.117045877,295.3916437,0
0.117135777,295.2769308,0
0.117225747,295.1620841,0
0.117315785,295.0471035,0
0.117405893,294.931989,0
0.11749607,294.8167403,0
0.117586316,294.7013575,0
0.117676632,294.5858405,0
0.117767017,294.4701891,0
0.117857471,294.3544032,0
0.117947995,294.2384829,0
0.118038589,294.1224279,0
0.118129252,294.0062382,0
0.118219984,293.8899138,0
0.118310786,293.7734545,0
0.118401659,293.6568602,0
0.1184926,293.5401309,0
0.118583612,293.4232664,0
0.118674694,293.3062667,0
0.118765845,293.1891317,0
0.118857067,293.0718613,0
0.118948358,292.9544555,0
0.11903972,292.836914,0
0.119131152,292.7192369,0
0.119222654,292.6014241,0
0.119314227,292.4834755,0
0.119405869,292.3653909,0
0.119497583,292.2471703,0
0.119589366,292.1288137,0
0.11968122,292.0103208,0
0.119773145,291.8916918,0
0.11986514,291.7729264,0
0.119957206,291.6540245,0
0.120049343,291.5349862,0
0.12014155,291.4158113,0
0.120233828,291.2964997,0
0.120326177,291.1770513,0
0.120418597,291.0574661,0
0.120511088,290.937744,0
0.120603651,290.8178849,0
