# q I
1.000000000000000021e-02 2.266652388136102818e+06
1.001536748173999930e-02 2.265869167774551548e+06
1.003075857942949643e-02 2.265083922935556620e+06
1.004617332936026848e-02 2.264296649576027412e+06
1.006161176787984980e-02 2.263507343652255367e+06
1.007707393139163458e-02 2.262716001119973138e+06
1.009255985635495838e-02 2.261922617934407666e+06
1.010806957928519698e-02 2.261127190050341655e+06
1.012360313675382713e-02 2.260329713422169909e+06
1.013916056538853409e-02 2.259530184003956150e+06
1.015474190187328103e-02 2.258728597749495879e+06
1.017034718294842696e-02 2.257924950612371787e+06
1.018597644541076666e-02 2.257119238546015695e+06
1.020162972611365904e-02 2.256311457503767684e+06
1.021730706196708263e-02 2.255501603438936174e+06
1.023300848993775707e-02 2.254689672304860782e+06
1.024873404704919333e-02 2.253875660054971464e+06
1.026448377038180308e-02 2.253059562642853241e+06
1.028025769707298885e-02 2.252241376022304408e+06
1.029605586431721516e-02 2.251421096147404052e+06
1.031187830936610567e-02 2.250598718972570263e+06
1.032772506952852817e-02 2.249774240452629048e+06
1.034359618217069871e-02 2.248947656542873476e+06
1.035949168471624222e-02 2.248118963199130725e+06
1.037541161464629672e-02 2.247288156377828214e+06
1.039135600949959819e-02 2.246455232036055066e+06
1.040732490687257955e-02 2.245620186131631956e+06
1.042331834441944001e-02 2.244783014623176306e+06
1.043933635985224567e-02 2.243943713470167480e+06
1.045537899094101456e-02 2.243102278633015230e+06
1.047144627551382066e-02 2.242258706073127221e+06
1.048753825145685471e-02 2.241412991752977483e+06
1.050365495671452994e-02 2.240565131636176258e+06
1.051979642928958618e-02 2.239715121687533800e+06
1.053596270724314714e-02 2.238862957873139065e+06
1.055215382869483486e-02 2.238008636160419323e+06
1.056836983182284258e-02 2.237152152518218849e+06
1.058461075486405271e-02 2.236293502916865051e+06
1.060087663611409062e-02 2.235432683328243438e+06
1.061716751392743734e-02 2.234569689725866541e+06
1.063348342671751115e-02 2.233704518084947485e+06
1.064982441295677686e-02 2.232837164382471703e+06
1.066619051117680822e-02 2.231967624597274233e+06
1.068258175996839553e-02 2.231095894710107706e+06
1.069899819798162538e-02 2.230221970703722909e+06
1.071543986392600213e-02 2.229345848562937230e+06
1.073190679657049645e-02 2.228467524274714757e+06
1.074839903474365810e-02 2.227586993828239851e+06
1.076491661733372344e-02 2.226704253214993980e+06
1.078145958328867275e-02 2.225819298428832088e+06
1.079802797161634464e-02 2.224932125466061756e+06
1.081462182138452112e-02 2.224042730325518176e+06
1.083124117172103336e-02 2.223151109008643311e+06
1.084788606181382939e-02 2.222257257519565523e+06
1.086455653091107990e-02 2.221361171865178272e+06
1.088125261832127190e-02 2.220462848055219743e+06
1.089797436341330937e-02 2.219562282102353405e+06
1.091472180561658262e-02 2.218659470022249036e+06
1.093149498442108104e-02 2.217754407833662815e+06
1.094829393937747294e-02 2.216847091558520682e+06
1.096511871009722520e-02 2.215937517221999820e+06
