<X> <Y>
1.000000000000000e-02 2.225098127693943e+06
1.001536748174000e-02 2.224326886590249e+06
1.003075857942950e-02 2.223553653363083e+06
1.004617332936027e-02 2.222778424042580e+06
1.006161176787985e-02 2.222001194658340e+06
1.007707393139163e-02 2.221221961239471e+06
1.009255985635496e-02 2.220440719814660e+06
1.010806957928520e-02 2.219657466412217e+06
1.012360313675383e-02 2.218872197060140e+06
1.013916056538853e-02 2.218084907786169e+06
1.015474190187328e-02 2.217295594617847e+06
1.017034718294843e-02 2.216504253582576e+06
1.018597644541077e-02 2.215710880707679e+06
1.020162972611366e-02 2.214915472020459e+06
1.021730706196708e-02 2.214118023548253e+06
1.023300848993776e-02 2.213318531318504e+06
1.024873404704919e-02 2.212516991358809e+06
1.026448377038180e-02 2.211713399696992e+06
1.028025769707299e-02 2.210907752361153e+06
1.029605586431722e-02 2.210100045379743e+06
1.031187830936611e-02 2.209290274781618e+06
1.032772506952853e-02 2.208478436596108e+06
1.034359618217070e-02 2.207664526853068e+06
1.035949168471624e-02 2.206848541582958e+06
1.037541161464630e-02 2.206030476816901e+06
1.039135600949960e-02 2.205210328586740e+06
1.040732490687258e-02 2.204388092925116e+06
1.042331834441944e-02 2.203563765865528e+06
1.043933635985225e-02 2.202737343442391e+06
1.045537899094101e-02 2.201908821691115e+06
1.047144627551382e-02 2.201078196648170e+06
1.048753825145685e-02 2.200245464351143e+06
1.050365495671453e-02 2.199410620838820e+06
1.051979642928959e-02 2.198573662151243e+06
1.053596270724315e-02 2.197734584329787e+06
1.055215382869483e-02 2.196893383417224e+06
1.056836983182284e-02 2.196050055457792e+06
1.058461075486405e-02 2.195204596497270e+06
1.060087663611409e-02 2.194357002583048e+06
1.061716751392744e-02 2.193507269764191e+06
1.063348342671751e-02 2.192655394091523e+06
1.064982441295678e-02 2.191801371617684e+06
1.066619051117681e-02 2.190945198397218e+06
1.068258175996840e-02 2.190086870486633e+06
1.069899819798163e-02 2.189226383944482e+06
1.071543986392600e-02 2.188363734831435e+06
1.073190679657050e-02 2.187498919210353e+06
1.074839903474366e-02 2.186631933146365e+06
1.076491661733372e-02 2.185762772706940e+06
1.078145958328867e-02 2.184891433961964e+06
1.079802797161634e-02 2.184017912983818e+06
1.081462182138452e-02 2.183142205847457e+06
1.083124117172103e-02 2.182264308630479e+06
1.084788606181383e-02 2.181384217413211e+06
1.086455653091108e-02 2.180501928278786e+06
1.088125261832127e-02 2.179617437313213e+06
1.089797436341331e-02 2.178730740605476e+06
1.091472180561658e-02 2.177841834247590e+06
1.093149498442108e-02 2.176950714334701e+06
1.094829393937747e-02 2.176057376965155e+06
1.096511871009723e-02 2.175161818240582e+06
1.098196933625266e-02 2.174264034265985e+06
1.099884585757707e-02 2.173364021149808e+06
1.101574831386480e-02 2.172461775004035e+06
1.103267674497138e-02 2.171557291944260e+06
1.104963119081354e-02 2.170650568089781e+06
1.106661169136939e-02 2.169741599563679e+06
1.108361828667847e-02 2.168830382492902e+06
1.110065101684184e-02 2.167916913008356e+06
1.111770992202218e-02 2.167001187244982e+06
1.113479504244390e-02 2.166083201341856e+06
1.115190641839324e-02 2.165162951442260e+06
1.116904409021832e-02 2.164240433693785e+06
1.118620809832929e-02 2.163315644248403e+06
1.120339848319838e-02 2.162388579262574e+06
1.122061528536003e-02 2.161459234897320e+06
1.123785854541096e-02 2.160527607318321e+06
1.125512830401028e-02 2.159593692696004e+06
1.127242460187960e-02 2.158657487205635e+06
1.128974747980310e-02 2.157718987027408e+06
1.130709697862760e-02 2.156778188346542e+06
1.132447313926274e-02 2.155835087353365e+06
1.134187600268102e-02 2.154889680243417e+06
1.135930560991787e-02 2.153941963217529e+06
1.137676200207182e-02 2.152991932481936e+06
1.139424522030453e-02 2.152039584248355e+06
1.141175530584094e-02 2.151084914734088e+06
1.142929229996932e-02 2.150127920162119e+06
1.144685624404141e-02 2.149168596761204e+06
1.146444717947248e-02 2.148206940765974e+06
1.148206514774145e-02 2.147242948417026e+06
1.149971019039099e-02 2.146276615961027e+06
1.151738234902760e-02 2.145307939650810e+06
1.153508166532172e-02 2.144336915745469e+06
1.155280818100785e-02 2.143363540510466e+06
1.157056193788458e-02 2.142387810217727e+06
1.158834297781477e-02 2.141409721145741e+06
1.160615134272561e-02 2.140429269579664e+06
1.162398707460872e-02 2.139446451811419e+06
1.164185021552022e-02 2.138461264139802e+06
1.165974080758089e-02 2.137473702870580e+06
1.167765889297626e-02 2.136483764316599e+06
1.169560451395663e-02 2.135491444797877e+06
1.171357771283728e-02 2.134496740641729e+06
1.173157853199848e-02 2.133499648182856e+06
1.174960701388567e-02 2.132500163763451e+06
1.176766320100947e-02 2.131498283733317e+06
1.178574713594586e-02 2.130494004449962e+06
1.180385886133625e-02 2.129487322278710e+06
1.182199841988757e-02 2.128478233592812e+06
1.184016585437236e-02 2.127466734773555e+06
1.185836120762892e-02 2.126452822210366e+06
1.187658452256137e-02 2.125436492300924e+06
1.189483584213977e-02 2.124417741451276e+06
1.191311520940021e-02 2.123396566075937e+06
1.193142266744490e-02 2.122372962598015e+06
1.194975825944232e-02 2.121346927449309e+06
1.196812202862726e-02 2.120318457070433e+06
1.198651401830096e-02 2.119287547910928e+06
1.200493427183120e-02 2.118254196429363e+06
1.202338283265243e-02 2.117218399093471e+06
1.204185974426581e-02 2.116180152380247e+06
1.206036505023937e-02 2.115139452776071e+06
1.207889879420809e-02 2.114096296776822e+06
1.209746101987402e-02 2.113050680887997e+06
1.211605177100635e-02 2.112002601624829e+06
1.213467109144152e-02 2.110952055512400e+06
1.215331902508339e-02 2.109899039085765e+06
1.217199561590322e-02 2.108843548890070e+06
1.219070090793990e-02 2.107785581480671e+06
1.220943494529995e-02 2.106725133423257e+06
1.222819777215771e-02 2.105662201293967e+06
1.224698943275538e-02 2.104596781679513e+06
1.226580997140316e-02 2.103528871177309e+06
1.228465943247934e-02 2.102458466395582e+06
1.230353786043041e-02 2.101385563953506e+06
1.232244529977117e-02 2.100310160481320e+06
1.234138179508480e-02 2.099232252620459e+06
1.236034739102303e-02 2.098151837023668e+06
1.237934213230619e-02 2.097068910355144e+06
1.239836606372333e-02 2.095983469290649e+06
1.241741923013234e-02 2.094895510517643e+06
1.243650167646003e-02 2.093805030735411e+06
1.245561344770228e-02 2.092712026655196e+06
1.247475458892409e-02 2.091616495000317e+06
1.249392514525971e-02 2.090518432506310e+06
1.251312516191278e-02 2.089417835921053e+06
1.253235468415638e-02 2.088314702004899e+06
1.255161375733317e-02 2.087209027530804e+06
1.257090242685550e-02 2.086100809284463e+06
1.259022073820550e-02 2.084990044064442e+06
1.260956873693520e-02 2.083876728682309e+06
1.262894646866661e-02 2.082760859962775e+06
1.264835397909187e-02 2.081642434743818e+06
1.266779131397334e-02 2.080521449876825e+06
1.268725851914371e-02 2.079397902226729e+06
1.270675564050606e-02 2.078271788672142e+06
1.272628272403407e-02 2.077143106105496e+06
1.274583981577203e-02 2.076011851433174e+06
1.276542696183502e-02 2.074878021575656e+06
1.278504420840894e-02 2.073741613467656e+06
1.280469160175072e-02 2.072602624058258e+06
1.282436918818834e-02 2.071461050311056e+06
1.284407701412099e-02 2.070316889204308e+06
1.286381512601915e-02 2.069170137731059e+06
1.288358357042473e-02 2.068020792899290e+06
1.290338239395116e-02 2.066868851732069e+06
1.292321164328348e-02 2.065714311267684e+06
1.294307136517851e-02 2.064557168559791e+06
1.296296160646490e-02 2.063397420677558e+06
1.298288241404327e-02 2.062235064705812e+06
1.300283383488630e-02 2.061070097745185e+06
1.302281591603888e-02 2.059902516912257e+06
1.304282870461819e-02 2.058732319339703e+06
1.306287224781381e-02 2.057559502176451e+06
1.308294659288782e-02 2.056384062587815e+06
1.310305178717498e-02 2.055205997755657e+06
1.312318787808275e-02 2.054025304878527e+06
1.314335491309145e-02 2.052841981171822e+06
1.316355293975437e-02 2.051656023867930e+06
1.318378200569789e-02 2.050467430216385e+06
1.320404215862156e-02 2.049276197484021e+06
1.322433344629824e-02 2.048082322955117e+06
1.324465591657420e-02 2.046885803931559e+06
1.326500961736925e-02 2.045686637732993e+06
1.328539459667683e-02 2.044484821696974e+06
1.330581090256414e-02 2.043280353179125e+06
1.332625858317224e-02 2.042073229553293e+06
1.334673768671618e-02 2.040863448211707e+06
1.336724826148510e-02 2.039651006565134e+06
1.338779035584233e-02 2.038435902043032e+06
1.340836401822557e-02 2.037218132093717e+06
1.342896929714690e-02 2.035997694184514e+06
1.344960624119299e-02 2.034774585801925e+06
1.347027489902516e-02 2.033548804451782e+06
1.349097531937951e-02 2.032320347659410e+06
1.351170755106705e-02 2.031089212969789e+06
1.353247164297376e-02 2.029855397947718e+06
1.355326764406081e-02 2.028618900177974e+06
1.357409560336455e-02 2.027379717265477e+06
1.359495556999672e-02 2.026137846835457e+06
1.361584759314452e-02 2.024893286533614e+06
1.363677172207074e-02 2.023646034026287e+06
1.365772800611389e-02 2.022396087000610e+06
1.367871649468827e-02 2.021143443164699e+06
1.369973723728414e-02 2.019888100247793e+06
1.372079028346782e-02 2.018630056000445e+06
1.374187568288177e-02 2.017369308194673e+06
1.376299348524477e-02 2.016105854624141e+06
1.378414374035199e-02 2.014839693104320e+06
1.380532649807513e-02 2.013570821472662e+06
1.382654180836252e-02 2.012299237588770e+06
1.384778972123925e-02 2.011024939334570e+06
1.386907028680730e-02 2.009747924614482e+06
1.389038355524562e-02 2.008468191355588e+06
1.391172957681031e-02 2.007185737507815e+06
1.393310840183464e-02 2.005900561044102e+06
1.395452008072930e-02 2.004612659960570e+06
1.397596466398241e-02 2.003322032276707e+06
1.399744220215967e-02 2.002028676035538e+06
1.401895274590451e-02 2.000732589303797e+06
1.404049634593816e-02 1.999433770172112e+06
1.406207305305984e-02 1.998132216755177e+06
1.408368291814678e-02 1.996827927191927e+06
1.410532599215443e-02 1.995520899645723e+06
1.412700232611655e-02 1.994211132304526e+06
1.414871197114530e-02 1.992898623381078e+06
1.417045497843140e-02 1.991583371113082e+06
1.419223139924426e-02 1.990265373763383e+06
1.421404128493203e-02 1.988944629620145e+06
1.423588468692180e-02 1.987621136997041e+06
1.425776165671970e-02 1.986294894233426e+06
1.427967224591099e-02 1.984965899694525e+06
1.430161650616021e-02 1.983634151771619e+06
1.432359448921130e-02 1.982299648882217e+06
1.434560624688770e-02 1.980962389470257e+06
1.436765183109253e-02 1.979622372006277e+06
1.438973129380863e-02 1.978279594987606e+06
1.441184468709873e-02 1.976934056938554e+06
1.443399206310560e-02 1.975585756410593e+06
1.445617347405210e-02 1.974234691982542e+06
1.447838897224138e-02 1.972880862260762e+06
1.450063861005693e-02 1.971524265879338e+06
1.452292243996276e-02 1.970164901500275e+06
1.454524051450352e-02 1.968802767813674e+06
1.456759288630458e-02 1.967437863537938e+06
1.458997960807217e-02 1.966070187419951e+06
1.461240073259357e-02 1.964699738235270e+06
1.463485631273714e-02 1.963326514788320e+06
1.465734640145249e-02 1.961950515912583e+06
1.467987105177060e-02 1.960571740470797e+06
1.470243031680396e-02 1.959190187355132e+06
1.472502424974667e-02 1.957805855487404e+06
1.474765290387457e-02 1.956418743819255e+06
1.477031633254538e-02 1.955028851332350e+06
1.479301458919882e-02 1.953636177038575e+06
1.481574772735673e-02 1.952240719980228e+06
1.483851580062318e-02 1.950842479230219e+06
1.486131886268465e-02 1.949441453892261e+06
1.488415696731012e-02 1.948037643101071e+06
1.490703016835116e-02 1.946631046022565e+06
1.492993851974212e-02 1.945221661854056e+06
1.495288207550027e-02 1.943809489824450e+06
1.497586088972583e-02 1.942394529194449e+06
1.499887501660219e-02 1.940976779256744e+06
1.502192451039600e-02 1.939556239336218e+06
1.504500942545732e-02 1.938132908790146e+06
1.506812981621970e-02 1.936706787008392e+06
1.509128573720036e-02 1.935277873413615e+06
1.511447724300032e-02 1.933846167461462e+06
1.513770438830446e-02 1.932411668640774e+06
1.516096722788174e-02 1.930974376473792e+06
1.518426581658526e-02 1.929534290516350e+06
1.520760020935242e-02 1.928091410358086e+06
1.523097046120506e-02 1.926645735622637e+06
1.525437662724957e-02 1.925197265967850e+06
1.527781876267699e-02 1.923746001085982e+06
1.530129692276324e-02 1.922291940703901e+06
1.532481116286912e-02 1.920835084583297e+06
1.534836153844056e-02 1.919375432520884e+06
1.537194810500864e-02 1.917912984348603e+06
1.539557091818983e-02 1.916447739933829e+06
1.541923003368604e-02 1.914979699179579e+06
1.544292550728480e-02 1.913508862024714e+06
1.546665739485933e-02 1.912035228444151e+06
1.549042575236876e-02 1.910558798449066e+06
1.551423063585819e-02 1.909079572087099e+06
