<X> <Y>
1.000000000000000e-02 1.020663190439727e+06
1.001536748174000e-02 1.020505096343384e+06
1.003075857942950e-02 1.020346537030711e+06
1.004617332936027e-02 1.020187511198087e+06
1.006161176787985e-02 1.020028017538629e+06
1.007707393139163e-02 1.019868054742218e+06
1.009255985635496e-02 1.019707621495471e+06
1.010806957928520e-02 1.019546716481730e+06
1.012360313675383e-02 1.019385338381083e+06
1.013916056538853e-02 1.019223485870336e+06
1.015474190187328e-02 1.019061157623013e+06
1.017034718294843e-02 1.018898352309359e+06
1.018597644541077e-02 1.018735068596314e+06
1.020162972611366e-02 1.018571305147536e+06
1.021730706196708e-02 1.018407060623376e+06
1.023300848993776e-02 1.018242333680867e+06
1.024873404704919e-02 1.018077122973752e+06
1.026448377038180e-02 1.017911427152431e+06
1.028025769707299e-02 1.017745244863993e+06
1.029605586431722e-02 1.017578574752200e+06
1.031187830936611e-02 1.017411415457472e+06
1.032772506952853e-02 1.017243765616896e+06
1.034359618217070e-02 1.017075623864210e+06
1.035949168471624e-02 1.016906988829800e+06
1.037541161464630e-02 1.016737859140698e+06
1.039135600949960e-02 1.016568233420583e+06
1.040732490687258e-02 1.016398110289753e+06
1.042331834441944e-02 1.016227488365147e+06
1.043933635985225e-02 1.016056366260319e+06
1.045537899094101e-02 1.015884742585449e+06
1.047144627551382e-02 1.015712615947319e+06
1.048753825145685e-02 1.015539984949325e+06
1.050365495671453e-02 1.015366848191479e+06
1.051979642928959e-02 1.015193204270358e+06
1.053596270724315e-02 1.015019051779167e+06
1.055215382869483e-02 1.014844389307659e+06
1.056836983182284e-02 1.014669215442211e+06
1.058461075486405e-02 1.014493528765749e+06
1.060087663611409e-02 1.014317327857769e+06
1.061716751392744e-02 1.014140611294355e+06
1.063348342671751e-02 1.013963377648139e+06
1.064982441295678e-02 1.013785625488296e+06
1.066619051117681e-02 1.013607353380581e+06
1.068258175996840e-02 1.013428559887275e+06
1.069899819798163e-02 1.013249243567202e+06
1.071543986392600e-02 1.013069402975738e+06
1.073190679657050e-02 1.012889036664758e+06
1.074839903474366e-02 1.012708143182704e+06
1.076491661733372e-02 1.012526721074511e+06
