# q I
1.000000000000000021e-03 6.272365206421039067e+06
1.001903704538847136e-03 6.272187558366930112e+06
1.003811033168664282e-03 6.272009239767599851e+06
1.005721992788652288e-03 6.271830248116822913e+06
1.007636590311141236e-03 6.271650580899198540e+06
1.009554832661624943e-03 6.271470235590113327e+06
1.011476726778777870e-03 6.271289209655713290e+06
1.013402279614483746e-03 6.271107500552870333e+06
1.015331498133863978e-03 6.270925105729146861e+06
1.017264389315294774e-03 6.270742022622768767e+06
1.019200960150441629e-03 6.270558248662590981e+06
1.021141217644277316e-03 6.270373781268056482e+06
1.023085168815109644e-03 6.270188617849178612e+06
1.025032820694610084e-03 6.270002755806494504e+06
1.026984180327832410e-03 6.269816192531039938e+06
1.028939254773246752e-03 6.269628925404311158e+06
1.030898051102756502e-03 6.269440951798238792e+06
1.032860576401728242e-03 6.269252269075145014e+06
1.034826837769020581e-03 6.269062874587718397e+06
1.036796842317001073e-03 6.268872765678972937e+06
1.038770597171582207e-03 6.268681939682220109e+06
1.040748109472238760e-03 6.268490393921034411e+06
1.042729386372036413e-03 6.268298125709217042e+06
1.044714435037662117e-03 6.268105132350762375e+06
1.046703262649441215e-03 6.267911411139825359e+06
1.048695876401373010e-03 6.267716959360685199e+06
1.050692283501148544e-03 6.267521774287713692e+06
1.052692491170180086e-03 6.267325853185339831e+06
1.054696506643631061e-03 6.267129193308010697e+06
1.056704337170433607e-03 6.266931791900166310e+06
1.058715990013324362e-03 6.266733646196198650e+06
1.060731472448862671e-03 6.266534753420411609e+06
1.062750791767460515e-03 6.266335110786998644e+06
1.064773955273411567e-03 6.266134715499999933e+06
1.066800970284910487e-03 6.265933564753266051e+06
1.068831844134088271e-03 6.265731655730425380e+06
1.070866584167030683e-03 6.265528985604850575e+06
1.072905197743807956e-03 6.265325551539618522e+06
1.074947692238505592e-03 6.265121350687477738e+06
1.076994075039242136e-03 6.264916380190812983e+06
1.079044353548205609e-03 6.264710637181604281e+06
1.081098535181672588e-03 6.264504118781400844e+06
1.083156627370037914e-03 6.264296822101278231e+06
1.085218637557844399e-03 6.264088744241796434e+06
1.087284573203803643e-03 6.263879882292978466e+06
