# q I
1.000000000000000048e-04 2.615966863699239120e+07
1.002537693486482012e-04 2.615960915116504207e+07
1.005081826861196301e-04 2.615954936331286654e+07
1.007632416466603341e-04 2.615948927190378681e+07
1.010189478686639712e-04 2.615942887539798766e+07
1.012753029946815452e-04 2.615936817224783450e+07
1.015323086714327500e-04 2.615930716089787707e+07
1.017899665498157131e-04 2.615924583978477865e+07
1.020482782849185018e-04 2.615918420733727887e+07
1.023072455360288409e-04 2.615912226197617874e+07
1.025668699666455367e-04 2.615906000211427361e+07
1.028271532444888318e-04 2.615899742615633458e+07
1.030880970415108672e-04 2.615893453249904513e+07
1.033497030339070261e-04 2.615887131953096390e+07
1.036119729021260167e-04 2.615880778563251346e+07
1.038749083308814056e-04 2.615874392917592078e+07
1.041385110091615923e-04 2.615867974852513522e+07
1.044027826302415730e-04 2.615861524203585461e+07
1.046677248916929285e-04 2.615855040805545449e+07
1.049333394953954663e-04 2.615848524492292851e+07
1.051996281475478452e-04 2.615841975096886605e+07
1.054665925586782010e-04 2.615835392451543361e+07
1.057342344436559096e-04 2.615828776387625933e+07
1.060025555217017384e-04 2.615822126735646278e+07
1.062715575163997178e-04 2.615815443325259164e+07
1.065412421557073737e-04 2.615808725985255465e+07
1.068116111719677214e-04 2.615801974543559551e+07
1.070826663019194705e-04 2.615795188827227056e+07
1.073544092867089649e-04 2.615788368662435189e+07
1.076268418719010788e-04 2.615781513874484226e+07
1.078999658074900319e-04 2.615774624287787825e+07
1.081737828479114374e-04 2.615767699725873396e+07
1.084482947520526967e-04 2.615760740011373907e+07
1.087235032832651699e-04 2.615753744966025278e+07
1.089994102093746109e-04 2.615746714410660788e+07
1.092760173026934326e-04 2.615739648165208474e+07
1.095533263400311696e-04 2.615732546048682928e+07
1.098313391027068106e-04 2.615725407879184559e+07
1.101100573765593425e-04 2.615718233473892882e+07
1.103894829519599886e-04 2.615711022649063170e+07
1.106696176238234025e-04 2.615703775220018625e+07
1.109504631916188356e-04 2.615696491001151502e+07
1.112320214593824700e-04 2.615689169805911928e+07
1.115142942357281655e-04 2.615681811446808651e+07
1.117972833338599280e-04 2.615674415735399723e+07
1.120809905715826430e-04 2.615666982482291386e+07
1.123654177713145983e-04 2.615659511497130245e+07
