# q Iq
1.000000000000000048e-04 4.822818034272921272e+06
1.002537693486482012e-04 4.822790052497751079e+06
1.005081826861196301e-04 4.822761928749731742e+06
1.007632416466603341e-04 4.822733662309676409e+06
1.010189478686639712e-04 4.822705252454774454e+06
1.012753029946815452e-04 4.822676698458559811e+06
1.015323086714327500e-04 4.822647999590899795e+06
1.017899665498157131e-04 4.822619155117975548e+06
1.020482782849185018e-04 4.822590164302263409e+06
1.023072455360288409e-04 4.822561026402517222e+06
1.025668699666455367e-04 4.822531740673746914e+06
1.028271532444888318e-04 4.822502306367204525e+06
1.030880970415108672e-04 4.822472722730359994e+06
1.033497030339070261e-04 4.822442989006883465e+06
1.036119729021260167e-04 4.822413104436630383e+06
1.038749083308814056e-04 4.822383068255620077e+06
1.041385110091615923e-04 4.822352879696011543e+06
1.044027826302415730e-04 4.822322537986092269e+06
1.046677248916929285e-04 4.822292042350254022e+06
1.049333394953954663e-04 4.822261392008974217e+06
1.051996281475478452e-04 4.822230586178793572e+06
1.054665925586782010e-04 4.822199624072304927e+06
1.057342344436559096e-04 4.822168504898122512e+06
1.060025555217017384e-04 4.822137227860867977e+06
1.062715575163997178e-04 4.822105792161155492e+06
1.065412421557073737e-04 4.822074196995555423e+06
1.068116111719677214e-04 4.822042441556595266e+06
1.070826663019194705e-04 4.822010525032720529e+06
1.073544092867089649e-04 4.821978446608285420e+06
1.076268418719010788e-04 4.821946205463531427e+06
1.078999658074900319e-04 4.821913800774559379e+06
1.081737828479114374e-04 4.821881231713318266e+06
1.084482947520526967e-04 4.821848497447580099e+06
1.087235032832651699e-04 4.821815597140916623e+06
1.089994102093746109e-04 4.821782529952681623e+06
1.092760173026934326e-04 4.821749295037991367e+06
1.095533263400311696e-04 4.821715891547693871e+06
1.098313391027068106e-04 4.821682318628362380e+06
1.101100573765593425e-04 4.821648575422261842e+06
1.103894829519599886e-04 4.821614661067335866e+06
1.106696176238234025e-04 4.821580574697171338e+06
1.109504631916188356e-04 4.821546315440999344e+06
1.112320214593824700e-04 4.821511882423651405e+06
1.115142942357281655e-04 4.821477274765547365e+06
