# q I
1.000000000000000048e-04 1.000000000000000000e+00
1.003075857942950164e-04 9.999999365901420800e-01
1.006161176787984416e-04 9.999998727896076689e-01
1.009255985635495827e-04 9.999998085959904692e-01
1.012360313675382778e-04 9.999997440068687515e-01
1.015474190187328737e-04 9.999996790198051322e-01
1.018597644541076292e-04 9.999996136323484608e-01
1.021730706196708225e-04 9.999995478420314887e-01
1.024873404704919382e-04 9.999994816463725344e-01
1.028025769707299373e-04 9.999994150428739292e-01
1.031187830936609997e-04 9.999993480290230163e-01
1.034359618217069843e-04 9.999992806022918179e-01
1.037541161464629677e-04 9.999992127601361469e-01
1.040732490687258400e-04 9.999991444999969392e-01
1.043933635985224128e-04 9.999990758192988105e-01
1.047144627551382050e-04 9.999990067154507223e-01
1.050365495671453471e-04 9.999989371858455378e-01
1.053596270724314210e-04 9.999988672278602442e-01
1.056836983182284355e-04 9.999987968388553972e-01
1.060087663611408937e-04 9.999987260161754543e-01
1.063348342671751608e-04 9.999986547571487749e-01
1.066619051117680334e-04 9.999985830590867320e-01
1.069899819798162565e-04 9.999985109192847110e-01
1.073190679657049705e-04 9.999984383350207784e-01
1.076491661733372827e-04 9.999983653035565689e-01
1.079802797161633917e-04 9.999982918221375083e-01
1.083124117172103352e-04 9.999982178879905925e-01
1.086455653091108028e-04 9.999981434983268302e-01
1.089797436341331409e-04 9.999980686503400218e-01
1.093149498442107486e-04 9.999979933412058708e-01
1.096511871009722591e-04 9.999979175680837606e-01
1.099884585757707043e-04 9.999978413281147560e-01
1.103267674497137105e-04 9.999977646184228242e-01
1.106661169136939231e-04 9.999976874361136137e-01
1.110065101684183620e-04 9.999976097782755646e-01
1.113479504244390637e-04 9.999975316419789095e-01
1.116904409021831810e-04 9.999974530242755622e-01
1.120339848319837751e-04 9.999973739221998947e-01
1.123785854541095765e-04 9.999972943327676278e-01
1.127242460187961013e-04 9.999972142529761632e-01
1.130709697862759692e-04 9.999971336798039179e-01
1.134187600268101679e-04 9.999970526102117674e-01
1.137676200207181815e-04 9.999969710411408252e-01
1.141175530584094452e-04 9.999968889695141083e-01
1.144685624404140692e-04 9.999968063922347605e-01
1.148206514774145108e-04 9.999967233061884953e-01
1.151738234902760136e-04 9.999966397082398206e-01
1.155280818100784014e-04 9.999965555952350371e-01
1.158834297781477236e-04 9.999964709640012384e-01
1.162398707460871549e-04 9.999963858113454229e-01
1.165974080758090062e-04 9.999963001340549384e-01
1.169560451395662619e-04 9.999962139288977037e-01
1.173157853199848340e-04 9.999961271926215423e-01
1.176766320100947337e-04 9.999960399219539608e-01
1.180385886133626108e-04 9.999959521136028151e-01
1.184016585437235204e-04 9.999958637642549775e-01
1.187658452256137073e-04 9.999957748705777805e-01
1.191311520940021012e-04 9.999956854292173514e-01
1.194975825944232363e-04 9.999955954367997224e-01
1.198651401830095063e-04 9.999955048899297205e-01
1.202338283265242595e-04 9.999954137851914115e-01
1.206036505023937015e-04 9.999953221191471009e-01
1.209746101987401395e-04 9.999952298883394430e-01
1.213467109144152403e-04 9.999951370892884439e-01
1.217199561590322178e-04 9.999950437184933483e-01
1.220943494529995238e-04 9.999949497724310854e-01
1.224698943275537408e-04 9.999948552475582675e-01
1.228465943247933952e-04 9.999947601403084141e-01
1.232244529977117003e-04 9.999946644470930623e-01
1.236034739102303832e-04 9.999945681643028772e-01
1.239836606372332682e-04 9.999944712883050979e-01
1.243650167646003478e-04 9.999943738154447592e-01
1.247475458892408778e-04 9.999942757420446915e-01
1.251312516191278282e-04 9.999941770644054095e-01
1.255161375733316828e-04 9.999940777788035584e-01
1.259022073820550524e-04 9.999939778814940228e-01
1.262894646866660959e-04 9.999938773687075955e-01
1.266779131397333764e-04 9.999937762366525318e-01
1.270675564050605837e-04 9.999936744815133283e-01
1.274583981577203338e-04 9.999935720994516108e-01
1.278504420840894599e-04 9.999934690866043585e-01
1.282436918818833814e-04 9.999933654390856796e-01
1.286381512601915032e-04 9.999932611529851467e-01
1.290338239395115850e-04 9.999931562243686844e-01
1.294307136517851677e-04 9.999930506492774596e-01
1.298288241404325926e-04 9.999929444237289911e-01
1.302281591603888079e-04 9.999928375437150407e-01
1.306287224781380626e-04 9.999927300052041668e-01
1.310305178717498752e-04 9.999926218041390591e-01
1.314335491309144327e-04 9.999925129364378718e-01
1.318378200569788846e-04 9.999924033979934457e-01
1.322433344629823893e-04 9.999922931846730867e-01
1.326500961736924353e-04 9.999921822923190096e-01
1.330581090256413785e-04 9.999920707167478939e-01
1.334673768671618143e-04 9.999919584537503292e-01
1.338779035584234138e-04 9.999918454990910366e-01
1.342896929714689457e-04 9.999917318485085360e-01
1.347027489902516005e-04 9.999916174977153682e-01
1.351170755106704711e-04 9.999915024423979837e-01
1.355326764406081740e-04 9.999913866782151883e-01
1.359495556999671707e-04 9.999912702007998089e-01
1.363677172207074435e-04 9.999911530057580267e-01
1.367871649468827347e-04 9.999910350886680455e-01
1.372079028346782502e-04 9.999909164450817567e-01
1.376299348524476847e-04 9.999907970705229632e-01
1.380532649807512773e-04 9.999906769604882673e-01
1.384778972123925386e-04 9.999905561104461826e-01
1.389038355524561713e-04 9.999904345158378005e-01
1.393310840183464231e-04 9.999903121720760124e-01
1.397596466398241127e-04 9.999901890745450661e-01
1.401895274590451187e-04 9.999900652186011207e-01
1.406207305305982999e-04 9.999899405995713586e-01
1.410532599215443092e-04 9.999898152127545403e-01
1.414871197114529993e-04 9.999896890534206717e-01
1.419223139924426160e-04 9.999895621168097826e-01
1.423588468692179893e-04 9.999894343981335920e-01
1.427967224591098904e-04 9.999893058925736211e-01
1.432359448921129781e-04 9.999891765952817480e-01
1.436765183109253729e-04 9.999890465013804297e-01
1.441184468709873082e-04 9.999889156059613704e-01
1.445617347405210563e-04 9.999887839040870752e-01
1.450063861005693362e-04 9.999886513907882968e-01
1.454524051450352667e-04 9.999885180610665891e-01
1.458997960807216954e-04 9.999883839098911986e-01
1.463485631273713959e-04 9.999882489322019508e-01
1.467987105177060445e-04 9.999881131229064746e-01
1.472502424974666342e-04 9.999879764768810908e-01
1.477031633254537798e-04 9.999878389889710339e-01
1.481574772735672638e-04 9.999877006539894531e-01
1.486131886268466133e-04 9.999875614667169677e-01
1.490703016835114860e-04 9.999874214219036661e-01
1.495288207550027077e-04 9.999872805142655530e-01
1.499887501660219266e-04 9.999871387384872135e-01
1.504500942545732738e-04 9.999869960892195930e-01
1.509128573720036419e-04 9.999868525610818848e-01
1.513770438830446159e-04 9.999867081486587539e-01
1.518426581658525890e-04 9.999865628465026690e-01
1.523097046120505313e-04 9.999864166491315709e-01
1.527781876267698946e-04 9.999862695510307598e-01
1.532481116286912425e-04 9.999861215466503417e-01
1.537194810500864530e-04 9.999859726304067831e-01
1.541923003368603792e-04 9.999858227966824664e-01
1.546665739485932685e-04 9.999856720398248022e-01
1.551423063585819352e-04 9.999855203541463400e-01
1.556195020538825866e-04 9.999853677339246572e-01
1.560981655353528086e-04 9.999852141734023592e-01
1.565783013176946629e-04 9.999850596667856362e-01
1.570599139294963202e-04 9.999849042082465944e-01
1.575430079132754283e-04 9.999847477919198147e-01
1.580275878255215857e-04 9.999845904119045725e-01
1.585136582367399540e-04 9.999844320622640614e-01
1.590012237314935412e-04 9.999842727370241713e-01
1.594902889084468412e-04 9.999841124301743767e-01
1.599808583804091205e-04 9.999839511356670707e-01
1.604729367743784911e-04 9.999837888474174541e-01
1.609665287315844922e-04 9.999836255593029799e-01
1.614616389075324888e-04 9.999834612651637977e-01
1.619582719720479881e-04 9.999832959588018655e-01
1.624564326093196824e-04 9.999831296339807274e-01
1.629561255179444164e-04 9.999829622844258470e-01
1.634573554109709889e-04 9.999827939038242741e-01
1.639601270159454457e-04 9.999826244858235347e-01
1.644644450749545555e-04 9.999824540240322968e-01
1.649703143446712384e-04 9.999822825120199266e-01
1.654777395963991267e-04 9.999821099433161553e-01
1.659867256161181280e-04 9.999819363114108572e-01
1.664972772045287695e-04 9.999817616097536055e-01
1.670093991770977074e-04 9.999815858317541162e-01
1.675230963641039135e-04 9.999814089707805831e-01
1.680383736106830467e-04 9.999812310201616761e-01
1.685552357768738835e-04 9.999810519731836544e-01
1.690736877376638548e-04 9.999808718230921434e-01
1.695937343830356122e-04 9.999806905630911347e-01
1.701153806180122666e-04 9.999805081863425427e-01
1.706386313627041441e-04 9.999803246859659822e-01
1.711634915523551086e-04 9.999801400550391017e-01
1.716899661373894807e-04 9.999799542865966950e-01
1.722180600834580081e-04 9.999797673736310344e-01
1.727477783714851908e-04 9.999795793090903162e-01
1.732791259977159285e-04 9.999793900858802154e-01
1.738121079737634704e-04 9.999791996968619978e-01
1.743467293266554659e-04 9.999790081348537418e-01
1.748829950988822388e-04 9.999788153926283396e-01
1.754209103484438692e-04 9.999786214629148295e-01
1.759604801488986840e-04 9.999784263383971750e-01
1.765017095894099862e-04 9.999782300117145972e-01
1.770446037747946814e-04 9.999780324754607985e-01
1.775891678255718498e-04 9.999778337221836289e-01
1.781354068780100451e-04 9.999776337443849750e-01
1.786833260841764082e-04 9.999774325345209824e-01
1.792329306119849958e-04 9.999772300850011675e-01
1.797842256452461117e-04 9.999770263881878618e-01
1.803372163837141742e-04 9.999768214363972119e-01
1.808919080431375351e-04 9.999766152218969584e-01
1.814483058553072420e-04 9.999764077369081017e-01
1.820064150681071551e-04 9.999761989736034584e-01
1.825662409455622759e-04 9.999759889241072175e-01
1.831277887678890270e-04 9.999757775804956061e-01
1.836910638315456402e-04 9.999755649347954467e-01
1.842560714492808645e-04 9.999753509789854888e-01
1.848228169501849234e-04 9.999751357049936340e-01
1.853913056797393884e-04 9.999749191046992669e-01
1.859615429998682991e-04 9.999747011699311461e-01
1.865335342889877111e-04 9.999744818924677370e-01
1.871072849420570602e-04 9.999742612640371009e-01
1.876828003706297403e-04 9.999740392763160068e-01
1.882600860029048744e-04 9.999738159209302646e-01
1.888391472837773770e-04 9.999735911894540585e-01
1.894199896748899152e-04 9.999733650734093926e-01
1.900026186546849771e-04 9.999731375642662012e-01
1.905870397184553143e-04 9.999729086534419054e-01
1.911732583783966614e-04 9.999726783323009682e-01
1.917612801636595337e-04 9.999724465921548955e-01
1.923511106204009978e-04 9.999722134242614580e-01
1.929427553118380414e-04 9.999719788198245807e-01
1.935362198182986665e-04 9.999717427699936767e-01
1.941315097372751236e-04 9.999715052658645353e-01
1.947286306834774172e-04 9.999712662984772127e-01
1.953275882888849950e-04 9.999710258588169198e-01
1.959283882028006599e-04 9.999707839378135787e-01
1.965310360919034520e-04 9.999705405263407121e-01
1.971355376403029669e-04 9.999702956152157762e-01
1.977418985495916419e-04 9.999700491951999393e-01
1.983501245388994533e-04 9.999698012569973038e-01
1.989602213449473682e-04 9.999695517912543519e-01
1.995721947221023402e-04 9.999693007885608331e-01
2.001860504424303000e-04 9.999690482394475444e-01
2.008017942957512599e-04 9.999687941343875508e-01
2.014194320896944997e-04 9.999685384637948538e-01
2.020389696497520992e-04 9.999682812180247238e-01
2.026604128193347477e-04 9.999680223873728124e-01
2.032837674598264414e-04 9.999677619620750413e-01
2.039090394506405917e-04 9.999674999323074909e-01
2.045362346892741804e-04 9.999672362881850685e-01
2.051653590913643012e-04 9.999669710197623962e-01
2.057964185907434809e-04 9.999667041170323678e-01
2.064294191394964919e-04 9.999664355699265927e-01
2.070643667080152939e-04 9.999661653683146190e-01
2.077012672850558732e-04 9.999658935020031558e-01
2.083401268777954345e-04 9.999656199607369622e-01
2.089809515118877493e-04 9.999653447341965151e-01
2.096237472315208626e-04 9.999650678119998970e-01
2.102685200994739052e-04 9.999647891837000202e-01
2.109152761971740413e-04 9.999645088387865144e-01
2.115640216247546357e-04 9.999642267666835060e-01
2.122147625011116059e-04 9.999639429567506177e-01
2.128675049639617244e-04 9.999636573982813026e-01
2.135222551699011116e-04 9.999633700805033998e-01
2.141790192944620754e-04 9.999630809925785790e-01
2.148378035321721997e-04 9.999627901236013416e-01
2.154986140966123767e-04 9.999624974625991314e-01
2.161614572204761942e-04 9.999622029985317795e-01
