# q I
1.000000000000000048e-04 1.000000000000000000e+00
1.003075857942950164e-04 9.999987969520319764e-01
1.006161176787984416e-04 9.999975864931747171e-01
1.009255985635495827e-04 9.999963685777844002e-01
1.012360313675382778e-04 9.999951431599364282e-01
1.015474190187328737e-04 9.999939101934233188e-01
1.018597644541076292e-04 9.999926696317528174e-01
1.021730706196708225e-04 9.999914214281468983e-01
1.024873404704919382e-04 9.999901655355398766e-01
1.028025769707299373e-04 9.999889019065749673e-01
1.031187830936609997e-04 9.999876304936050619e-01
1.034359618217069843e-04 9.999863512486890649e-01
1.037541161464629677e-04 9.999850641235910054e-01
1.040732490687258400e-04 9.999837690697782611e-01
1.043933635985224128e-04 9.999824660384183383e-01
1.047144627551382050e-04 9.999811549803795385e-01
1.050365495671453471e-04 9.999798358462265169e-01
1.053596270724314210e-04 9.999785085862199496e-01
1.056836983182284355e-04 9.999771731503146466e-01
1.060087663611408937e-04 9.999758294881567755e-01
1.063348342671751608e-04 9.999744775490830850e-01
1.066619051117680334e-04 9.999731172821176850e-01
1.069899819798162565e-04 9.999717486359718244e-01
1.073190679657049705e-04 9.999703715590398945e-01
1.076491661733372827e-04 9.999689859993995400e-01
1.079802797161633917e-04 9.999675919048082173e-01
1.083124117172103352e-04 9.999661892227018622e-01
1.086455653091108028e-04 9.999647779001930026e-01
1.089797436341331409e-04 9.999633578840687598e-01
1.093149498442107486e-04 9.999619291207877403e-01
1.096511871009722591e-04 9.999604915564801466e-01
1.099884585757707043e-04 9.999590451369435584e-01
1.103267674497137105e-04 9.999575898076424885e-01
1.106661169136939231e-04 9.999561255137058291e-01
1.110065101684183620e-04 9.999546521999241877e-01
1.113479504244390637e-04 9.999531698107482214e-01
1.116904409021831810e-04 9.999516782902875267e-01
1.120339848319837751e-04 9.999501775823068650e-01
1.123785854541095765e-04 9.999486676302249410e-01
1.127242460187961013e-04 9.999471483771122937e-01
1.130709697862759692e-04 9.999456197656889644e-01
1.134187600268101679e-04 9.999440817383224989e-01
1.137676200207181815e-04 9.999425342370253933e-01
1.141175530584094452e-04 9.999409772034536514e-01
1.144685624404140692e-04 9.999394105789036757e-01
1.148206514774145108e-04 9.999378343043107131e-01
1.151738234902760136e-04 9.999362483202468566e-01
1.155280818100784014e-04 9.999346525669172703e-01
1.158834297781477236e-04 9.999330469841599678e-01
1.162398707460871549e-04 9.999314315114428142e-01
1.165974080758090062e-04 9.999298060878601957e-01
1.169560451395662619e-04 9.999281706521322421e-01
1.173157853199848340e-04 9.999265251426017187e-01
1.176766320100947337e-04 9.999248694972320273e-01
1.180385886133626108e-04 9.999232036536045420e-01
1.184016585437235204e-04 9.999215275489165000e-01
1.187658452256137073e-04 9.999198411199780034e-01
1.191311520940021012e-04 9.999181443032116867e-01
1.194975825944232363e-04 9.999164370346471653e-01
1.198651401830095063e-04 9.999147192499214798e-01
1.202338283265242595e-04 9.999129908842750991e-01
1.206036505023937015e-04 9.999112518725495891e-01
1.209746101987401395e-04 9.999095021491860580e-01
1.213467109144152403e-04 9.999077416482218261e-01
1.217199561590322178e-04 9.999059703032878721e-01
1.220943494529995238e-04 9.999041880476075006e-01
1.224698943275537408e-04 9.999023948139925677e-01
1.228465943247933952e-04 9.999005905348412604e-01
1.232244529977117003e-04 9.998987751421355430e-01
1.236034739102303832e-04 9.998969485674393809e-01
1.239836606372332682e-04 9.998951107418950768e-01
1.243650167646003478e-04 9.998932615962213832e-01
1.247475458892408778e-04 9.998914010607103942e-01
1.251312516191278282e-04 9.998895290652254353e-01
1.255161375733316828e-04 9.998876455391977336e-01
1.259022073820550524e-04 9.998857504116251960e-01
1.262894646866660959e-04 9.998838436110675243e-01
1.266779131397333764e-04 9.998819250656454383e-01
1.270675564050605837e-04 9.998799947030373447e-01
1.274583981577203338e-04 9.998780524504762290e-01
1.278504420840894599e-04 9.998760982347475457e-01
1.282436918818833814e-04 9.998741319821861095e-01
1.286381512601915032e-04 9.998721536186732095e-01
1.290338239395115850e-04 9.998701630696340548e-01
1.294307136517851677e-04 9.998681602600348883e-01
1.298288241404325926e-04 9.998661451143805445e-01
1.302281591603888079e-04 9.998641175567107853e-01
1.306287224781380626e-04 9.998620775105985237e-01
1.310305178717498752e-04 9.998600248991456052e-01
1.314335491309144327e-04 9.998579596449812534e-01
1.318378200569788846e-04 9.998558816702579621e-01
1.322433344629823893e-04 9.998537908966499410e-01
1.326500961736924353e-04 9.998516872453487858e-01
1.330581090256413785e-04 9.998495706370614799e-01
1.334673768671618143e-04 9.998474409920068418e-01
1.338779035584234138e-04 9.998452982299128600e-01
1.342896929714689457e-04 9.998431422700134741e-01
1.347027489902516005e-04 9.998409730310461319e-01
1.351170755106704711e-04 9.998387904312475705e-01
1.355326764406081740e-04 9.998365943883514850e-01
1.359495556999671707e-04 9.998343848195854200e-01
1.363677172207074435e-04 9.998321616416685487e-01
1.367871649468827347e-04 9.998299247708060111e-01
1.372079028346782502e-04 9.998276741226881370e-01
1.376299348524476847e-04 9.998254096124868928e-01
1.380532649807512773e-04 9.998231311548515521e-01
1.384778972123925386e-04 9.998208386639064749e-01
1.389038355524561713e-04 9.998185320532476661e-01
1.393310840183464231e-04 9.998162112359396669e-01
1.397596466398241127e-04 9.998138761245122241e-01
1.401895274590451187e-04 9.998115266309560711e-01
1.406207305305982999e-04 9.998091626667212628e-01
1.410532599215443092e-04 9.998067841427127345e-01
1.414871197114529993e-04 9.998043909692871933e-01
1.419223139924426160e-04 9.998019830562500099e-01
1.423588468692179893e-04 9.997995603128515540e-01
1.427967224591098904e-04 9.997971226477839757e-01
1.432359448921129781e-04 9.997946699691770966e-01
1.436765183109253729e-04 9.997922021845960794e-01
1.441184468709873082e-04 9.997897192010373191e-01
1.445617347405210563e-04 9.997872209249248909e-01
1.450063861005693362e-04 9.997847072621072195e-01
1.454524051450352667e-04 9.997821781178534151e-01
1.458997960807216954e-04 9.997796333968500537e-01
1.463485631273713959e-04 9.997770730031970698e-01
1.467987105177060445e-04 9.997744968404044252e-01
1.472502424974666342e-04 9.997719048113885565e-01
1.477031633254537798e-04 9.997692968184686002e-01
1.481574772735672638e-04 9.997666727633629513e-01
1.486131886268466133e-04 9.997640325471854883e-01
1.490703016835114860e-04 9.997613760704410213e-01
1.495288207550027077e-04 9.997587032330232937e-01
1.499887501660219266e-04 9.997560139342094310e-01
1.504500942545732738e-04 9.997533080726577204e-01
1.509128573720036419e-04 9.997505855464020597e-01
1.513770438830446159e-04 9.997478462528504028e-01
1.518426581658525890e-04 9.997450900887780989e-01
1.523097046120505313e-04 9.997423169503270035e-01
1.527781876267698946e-04 9.997395267329989288e-01
1.532481116286912425e-04 9.997367193316536449e-01
1.537194810500864530e-04 9.997338946405039950e-01
1.541923003368603792e-04 9.997310525531118985e-01
1.546665739485932685e-04 9.997281929623846874e-01
1.551423063585819352e-04 9.997253157605716645e-01
1.556195020538825866e-04 9.997224208392577749e-01
1.560981655353528086e-04 9.997195080893628294e-01
1.565783013176946629e-04 9.997165774011348427e-01
1.570599139294963202e-04 9.997136286641468139e-01
1.575430079132754283e-04 9.997106617672925077e-01
1.580275878255215857e-04 9.997076765987826796e-01
1.585136582367399540e-04 9.997046730461401909e-01
1.590012237314935412e-04 9.997016509961963449e-01
1.594902889084468412e-04 9.996986103350862241e-01
1.599808583804091205e-04 9.996955509482448043e-01
1.604729367743784911e-04 9.996924727204020700e-01
1.609665287315844922e-04 9.996893755355797939e-01
1.614616389075324888e-04 9.996862592770856537e-01
1.619582719720479881e-04 9.996831238275102338e-01
1.624564326093196824e-04 9.996799690687220297e-01
1.629561255179444164e-04 9.996767948818623406e-01
1.634573554109709889e-04 9.996736011473426053e-01
1.639601270159454457e-04 9.996703877448381848e-01
1.644644450749545555e-04 9.996671545532842540e-01
1.649703143446712384e-04 9.996639014508720278e-01
1.654777395963991267e-04 9.996606283150436534e-01
1.659867256161181280e-04 9.996573350224871035e-01
1.664972772045287695e-04 9.996540214491322907e-01
1.670093991770977074e-04 9.996506874701464040e-01
1.675230963641039135e-04 9.996473329599288027e-01
1.680383736106830467e-04 9.996439577921064634e-01
1.685552357768738835e-04 9.996405618395292070e-01
1.690736877376638548e-04 9.996371449742658122e-01
1.695937343830356122e-04 9.996337070675969105e-01
1.701153806180122666e-04 9.996302479900130988e-01
1.706386313627041441e-04 9.996267676112080558e-01
1.711634915523551086e-04 9.996232658000737681e-01
1.716899661373894807e-04 9.996197424246970886e-01
1.722180600834580081e-04 9.996161973523529642e-01
1.727477783714851908e-04 9.996126304495008830e-01
1.732791259977159285e-04 9.996090415817785457e-01
1.738121079737634704e-04 9.996054306139983137e-01
1.743467293266554659e-04 9.996017974101408798e-01
1.748829950988822388e-04 9.995981418333510504e-01
1.754209103484438692e-04 9.995944637459314164e-01
1.759604801488986840e-04 9.995907630093395779e-01
1.765017095894099862e-04 9.995870394841799289e-01
1.770446037747946814e-04 9.995832930302002151e-01
1.775891678255718498e-04 9.995795235062863160e-01
1.781354068780100451e-04 9.995757307704562500e-01
1.786833260841764082e-04 9.995719146798554000e-01
1.792329306119849958e-04 9.995680750907508516e-01
1.797842256452461117e-04 9.995642118585261748e-01
1.803372163837141742e-04 9.995603248376758732e-01
1.808919080431375351e-04 9.995564138817996103e-01
1.814483058553072420e-04 9.995524788435979913e-01
1.820064150681071551e-04 9.995485195748654572e-01
1.825662409455622759e-04 9.995445359264856222e-01
1.831277887678890270e-04 9.995405277484253892e-01
1.836910638315456402e-04 9.995364948897295099e-01
1.842560714492808645e-04 9.995324371985153666e-01
1.848228169501849234e-04 9.995283545219657562e-01
1.853913056797393884e-04 9.995242467063246705e-01
1.859615429998682991e-04 9.995201135968915240e-01
1.865335342889877111e-04 9.995159550380142699e-01
1.871072849420570602e-04 9.995117708730840711e-01
1.876828003706297403e-04 9.995075609445304154e-01
1.882600860029048744e-04 9.995033250938133440e-01
1.888391472837773770e-04 9.994990631614187881e-01
1.894199896748899152e-04 9.994947749868529074e-01
1.900026186546849771e-04 9.994904604086344291e-01
1.905870397184553143e-04 9.994861192642910952e-01
1.911732583783966614e-04 9.994817513903507811e-01
1.917612801636595337e-04 9.994773566223373873e-01
1.923511106204009978e-04 9.994729347947640674e-01
1.929427553118380414e-04 9.994684857411267886e-01
1.935362198182986665e-04 9.994640092938982256e-01
