# Q(Å⁻¹)  I(q)
1.000000000000000021e-03 1.152224366893286943e+09
1.001768256211580483e-03 1.151587483272672415e+09
1.003539639153191651e-03 1.150948720258439541e+09
1.005314154353691277e-03 1.150308073640641928e+09
1.007091807351717053e-03 1.149665539209561110e+09
1.008872603695698316e-03 1.149021112755790949e+09
1.010656548943877518e-03 1.148374790070326567e+09
1.012443648664321932e-03 1.147726566944653034e+09
1.014233908434947727e-03 1.147076439170830727e+09
1.016027333843533406e-03 1.146424402541587114e+09
1.017823930487738674e-03 1.145770452850404978e+09
1.019623703975118751e-03 1.145114585891615391e+09
1.021426659923147353e-03 1.144456797460485220e+09
1.023232803959230356e-03 1.143797083353313208e+09
1.025042141720725096e-03 1.143135439367519140e+09
1.026854678854954460e-03 1.142471861301741123e+09
1.028670421019230088e-03 1.141806344955926180e+09
1.030489373880866472e-03 1.141138886131428242e+09
1.032311543117199817e-03 1.140469480631100893e+09
1.034136934415603006e-03 1.139798124259396553e+09
1.035965553473508147e-03 1.139124812822462797e+09
1.037797405998421973e-03 1.138449542128238916e+09
1.039632497707940802e-03 1.137772307986556530e+09
1.041470834329773741e-03 1.137093106209239244e+09
1.043312421601756993e-03 1.136411932610200167e+09
1.045157265271874462e-03 1.135728783005546331e+09
1.047005371098269893e-03 1.135043653213678598e+09
1.048856744849272458e-03 1.134356539055393219e+09
1.050711392303409989e-03 1.133667436353989124e+09
1.052569319249430004e-03 1.132976340935366392e+09
1.054430531486311639e-03 1.132283248628136873e+09
1.056295034823292317e-03 1.131588155263725042e+09
1.058162835079880107e-03 1.130891056676476955e+09
1.060033938085874761e-03 1.130191948703767538e+09
1.061908349681381153e-03 1.129490827186109304e+09
1.063786075716834437e-03 1.128787687967258215e+09
1.065667122053013272e-03 1.128082526894325733e+09
1.067551494561061725e-03 1.127375339817888498e+09
1.069439199122501193e-03 1.126666122592101097e+09
1.071330241629257080e-03 1.125954871074805975e+09
1.073224627983672018e-03 1.125241581127647161e+09
1.075122364098526255e-03 1.124526248616184473e+09
1.077023455897052617e-03 1.123808869410007000e+09
1.078927909312960357e-03 1.123089439382849932e+09
1.080835730290451418e-03 1.122367954412709236e+09
1.082746924784235617e-03 1.121644410381960392e+09
1.084661498759554926e-03 1.120918803177474022e+09
1.086579458192198436e-03 1.120191128690736294e+09
1.088500809068523607e-03 1.119461382817967176e+09
