# q I
1.000000000000000021e-02 9.469188154066859436e+10
1.001536748173999930e-02 9.464691308129446411e+10
1.003075857942949643e-02 9.460182624135572815e+10
1.004617332936026848e-02 9.455662077151536560e+10
1.006161176787984980e-02 9.451129642230493164e+10
1.007707393139163458e-02 9.446585294412805176e+10
1.009255985635495838e-02 9.442029008726260376e+10
1.010806957928519698e-02 9.437460760186407471e+10
1.012360313675382713e-02 9.432880523796835327e+10
1.013916056538853409e-02 9.428288274549478149e+10
1.015474190187328103e-02 9.423683987424928284e+10
1.017034718294842696e-02 9.419067637392703247e+10
1.018597644541076666e-02 9.414439199411595154e+10
1.020162972611365904e-02 9.409798648429937744e+10
1.021730706196708263e-02 9.405145959385963440e+10
1.023300848993775707e-02 9.400481107208052063e+10
1.024873404704919333e-02 9.395804066815113831e+10
1.026448377038180308e-02 9.391114813116874695e+10
1.028025769707298885e-02 9.386413321014173889e+10
1.029605586431721516e-02 9.381699565399345398e+10
1.031187830936610567e-02 9.376973521156491089e+10
1.032772506952852817e-02 9.372235163161836243e+10
1.034359618217069871e-02 9.367484466284045410e+10
1.035949168471624222e-02 9.362721405384559631e+10
1.037541161464629672e-02 9.357945955317953491e+10
1.039135600949959819e-02 9.353158090932234192e+10
1.040732490687257955e-02 9.348357787069223022e+10
1.042331834441944001e-02 9.343545018564866638e+10
1.043933635985224567e-02 9.338719760249594116e+10
1.045537899094101456e-02 9.333881986948681641e+10
1.047144627551382066e-02 9.329031673482588196e+10
1.048753825145685471e-02 9.324168794667301941e+10
1.050365495671452994e-02 9.319293325314720154e+10
1.051979642928958618e-02 9.314405240233001709e+10
1.053596270724314714e-02 9.309504514226911926e+10
1.055215382869483486e-02 9.304591122098199463e+10
1.056836983182284258e-02 9.299665038645986938e+10
1.058461075486405271e-02 9.294726238667097473e+10
1.060087663611409062e-02 9.289774696956478882e+10
1.061716751392743734e-02 9.284810388307519531e+10
1.063348342671751115e-02 9.279833287512492371e+10
1.064982441295677686e-02 9.274843369362881470e+10
1.066619051117680822e-02 9.269840608649812317e+10
1.068258175996839553e-02 9.264824980164404297e+10
1.069899819798162538e-02 9.259796458698173523e+10
1.071543986392600213e-02 9.254755019043440247e+10
1.073190679657049645e-02 9.249700635993707275e+10
1.074839903474365810e-02 9.244633284344052124e+10
1.076491661733372344e-02 9.239552938891558838e+10
1.078145958328867275e-02 9.234459574435702515e+10
1.079802797161634464e-02 9.229353165778756714e+10
1.081462182138452112e-02 9.224233687726200867e+10
1.083124117172103336e-02 9.219101115087153625e+10
1.084788606181382939e-02 9.213955422674775696e+10
1.086455653091107990e-02 9.208796585306681824e+10
1.088125261832127190e-02 9.203624577805384827e+10
1.089797436341330937e-02 9.198439374998698425e+10
1.091472180561658262e-02 9.193240951720185852e+10
1.093149498442108104e-02 9.188029282809579468e+10
