<X> <Y>
1.000000000000000e-02 1.231715019846043e+06
1.001536748174000e-02 1.231069308641287e+06
1.003075857942950e-02 1.230421946843540e+06
1.004617332936027e-02 1.229772931275564e+06
1.006161176787985e-02 1.229122258760585e+06
1.007707393139163e-02 1.228469926122346e+06
1.009255985635496e-02 1.227815930185148e+06
1.010806957928520e-02 1.227160267773913e+06
1.012360313675383e-02 1.226502935714236e+06
1.013916056538853e-02 1.225843930832431e+06
1.015474190187328e-02 1.225183249955595e+06
1.017034718294843e-02 1.224520889911653e+06
1.018597644541077e-02 1.223856847529417e+06
1.020162972611366e-02 1.223191119638638e+06
1.021730706196708e-02 1.222523703070067e+06
1.023300848993776e-02 1.221854594655502e+06
1.024873404704919e-02 1.221183791227849e+06
1.026448377038180e-02 1.220511289621182e+06
1.028025769707299e-02 1.219837086670789e+06
1.029605586431722e-02 1.219161179213238e+06
1.031187830936611e-02 1.218483564086433e+06
1.032772506952853e-02 1.217804238129668e+06
1.034359618217070e-02 1.217123198183688e+06
1.035949168471624e-02 1.216440441090748e+06
1.037541161464630e-02 1.215755963694673e+06
1.039135600949960e-02 1.215069762840910e+06
1.040732490687258e-02 1.214381835376598e+06
1.042331834441944e-02 1.213692178150624e+06
1.043933635985225e-02 1.213000788013678e+06
1.045537899094101e-02 1.212307661818326e+06
1.047144627551382e-02 1.211612796419056e+06
1.048753825145685e-02 1.210916188672357e+06
1.050365495671453e-02 1.210217835436765e+06
1.051979642928959e-02 1.209517733572935e+06
1.053596270724315e-02 1.208815879943705e+06
1.055215382869483e-02 1.208112271414152e+06
1.056836983182284e-02 1.207406904851661e+06
1.058461075486405e-02 1.206699777125989e+06
1.060087663611409e-02 1.205990885109329e+06
1.061716751392744e-02 1.205280225676373e+06
1.063348342671751e-02 1.204567795704380e+06
1.064982441295678e-02 1.203853592073242e+06
1.066619051117681e-02 1.203137611665549e+06
1.068258175996840e-02 1.202419851366654e+06
1.069899819798163e-02 1.201700308064746e+06
1.071543986392600e-02 1.200978978650910e+06
1.073190679657050e-02 1.200255860019200e+06
1.074839903474366e-02 1.199530949066708e+06
1.076491661733372e-02 1.198804242693628e+06
1.078145958328867e-02 1.198075737803328e+06
1.079802797161634e-02 1.197345431302422e+06
1.081462182138452e-02 1.196613320100838e+06
1.083124117172103e-02 1.195879401111885e+06
1.084788606181383e-02 1.195143671252331e+06
1.086455653091108e-02 1.194406127442471e+06
1.088125261832127e-02 1.193666766606194e+06
1.089797436341331e-02 1.192925585671066e+06
1.091472180561658e-02 1.192182581568392e+06
1.093149498442108e-02 1.191437751233297e+06
1.094829393937747e-02 1.190691091604796e+06
1.096511871009723e-02 1.189942599625867e+06
1.098196933625266e-02 1.189192272243527e+06
1.099884585757707e-02 1.188440106408911e+06
1.101574831386480e-02 1.187686099077338e+06
1.103267674497138e-02 1.186930247208395e+06
1.104963119081354e-02 1.186172547766012e+06
1.106661169136939e-02 1.185412997718535e+06
1.108361828667847e-02 1.184651594038806e+06
1.110065101684184e-02 1.183888333704242e+06
1.111770992202218e-02 1.183123213696910e+06
1.113479504244390e-02 1.182356231003606e+06
1.115190641839324e-02 1.181587382615937e+06
1.116904409021832e-02 1.180816665530399e+06
1.118620809832929e-02 1.180044076748454e+06
1.120339848319838e-02 1.179269613276616e+06
1.122061528536003e-02 1.178493272126526e+06
1.123785854541096e-02 1.177715050315039e+06
1.125512830401028e-02 1.176934944864302e+06
1.127242460187960e-02 1.176152952801838e+06
1.128974747980310e-02 1.175369071160626e+06
1.130709697862760e-02 1.174583296979190e+06
1.132447313926274e-02 1.173795627301678e+06
1.134187600268102e-02 1.173006059177947e+06
1.135930560991787e-02 1.172214589663648e+06
1.137676200207182e-02 1.171421215820313e+06
1.139424522030453e-02 1.170625934715437e+06
1.141175530584094e-02 1.169828743422568e+06
